"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
1295,133225,"Dempster, Ryan",3596,36,0.236,0.13,0.305,0.366,0.288,,,82,347,,,,85.2,,254,680,615,,,,,,,,,
1278,429722,"Santana, Ervin",3561,35.9,0.185,0.128,0.263,0.313,0.27,,,49,265,,,,83,,226,559,719,,,,,,,,,
1051,429719,"Jackson, Edwin",3358,31.3,0.211,0.088,0.322,0.299,0.242,,,60,284,,,,86.6,,216,548,503,,,,,,,,,
1022,434538,"Liriano, Francisco",3021,33.8,0.17,0.069,0.367,0.24,0.23,,,49,288,,,,86.4,,237,527,495,,,,,,,,,
885,502032,"Norris, Bud",2726,32.5,0.227,0.101,0.32,0.328,0.275,,,54,238,,,,88,,173,474,411,,,,,,,,,
861,462102,"Hanson, Tommy",3272,26.3,0.207,0.091,0.284,0.298,0.255,,,41,198,,,,84.3,,124,415,446,,,,,,,,,
840,434671,"Sánchez, Aníbal",3234,26,0.202,0.112,0.279,0.314,0.252,,,45,223,,,,85,,117,413,427,,,,,,,,,
836,425827,"Bonderman, Jeremy",2736,30.6,0.232,0.152,0.315,0.384,0.28,,,52,224,,,,81.8,,150,415,421,,,,,,,,,
829,461791,"Marmol, Carlos",1421,58.3,0.129,0.022,0.32,0.151,0.202,,,24,186,,,,84.3,,158,340,489,,,,,,,,,
824,448694,"Wells, Randy",3086,26.7,0.204,0.098,0.261,0.302,0.243,,,50,245,,,,84.9,,135,445,379,,,,,,,,,
813,435178,"Johnson, Josh",2988,27.2,0.213,0.099,0.276,0.312,0.251,,,43,202,,,,88.5,,138,419,394,,,,,,,,,
793,408206,"Myers, Brett",3457,22.9,0.235,0.046,0.301,0.281,0.256,,,46,196,,,,83.3,,91,386,407,,,,,,,,,
772,451482,"Galarraga, Armando",2323,33.2,0.256,0.198,0.295,0.454,0.319,,,53,207,,,,87.2,,124,424,348,,,,,,,,,
771,435044,"Baker, Scott",2673,28.8,0.217,0.171,0.268,0.388,0.272,,,52,240,,,,82.9,,113,396,375,,,,,,,,,
750,456501,"Cueto, Johnny",3117,24.1,0.247,0.119,0.326,0.366,0.298,,,48,194,,,,85.4,,89,325,425,,,,,,,,,
734,407890,"Lewis, Colby",3301,22.2,0.201,0.092,0.266,0.293,0.243,,,50,249,,,,83.8,,151,450,284,,,,,,,,,
723,429781,"Correia, Kevin",2520,28.7,0.254,0.11,0.298,0.365,0.31,,,46,181,,,,87.2,,71,326,397,,,,,,,,,
706,493133,"Kuroda, Hiroki",3028,23.3,0.205,0.1,0.298,0.305,0.249,,,39,190,,,,85.5,,129,353,353,,,,,,,,,
697,425386,"Guthrie, Jeremy",3325,21,0.263,0.243,0.291,0.507,0.34,,,40,152,,,,84.6,,61,287,410,,,,,,,,,
679,279782,"Garland, Jon",3253,20.9,0.233,0.055,0.272,0.288,0.277,,,38,163,,,,85.2,,64,313,366,,,,,,,,,
676,477132,"Kershaw, Clayton",3390,19.9,0.107,0.054,0.219,0.161,0.137,,,18,168,,,,81.9,,132,301,375,,,,,,,,,
654,448269,"Bergesen, Brad",2610,25.1,0.223,0.124,0.258,0.347,0.269,,,43,193,,,,82.5,,63,304,350,,,,,,,,,
650,115817,"Hernandez, Livan",3247,20,0.316,0.111,0.329,0.427,0.348,,,54,171,,,,80.2,,40,288,362,,,,,,,,,
649,450308,"Weaver, Jered",3713,17.5,0.211,0.087,0.283,0.298,0.239,,,34,161,,,,79.5,,90,282,367,,,,,,,,,
648,453385,"Richard, Clayton",3212,20.2,0.248,0.091,0.31,0.339,0.295,,,41,165,,,,85.1,,89,327,321,,,,,,,,,
640,502381,"Gregerson, Luke",1107,57.8,0.147,0.165,0.207,0.312,0.214,,,25,170,,,,84.6,,140,351,289,,,,,,,,,
629,150438,"Lopez, Rodrigo",3087,20.4,0.276,0.259,0.261,0.534,0.365,,,48,174,,,,81,,45,306,323,,,,,,,,,
629,150116,"Wolf, Randy",3575,17.6,0.225,0.139,0.224,0.364,0.28,,,34,151,,,,80.8,,44,304,325,,,,,,,,,
603,456043,"Sánchez, Jonathan",3235,18.6,0.169,0.112,0.286,0.281,0.232,,,30,178,,,,81,,100,277,326,,,,,,,,,
600,433584,"Hernandez, Roberto",3304,18.2,0.212,0.073,0.262,0.285,0.234,,,29,137,,,,87.5,,52,227,373,,,,,,,,,
584,445060,"Nolasco, Ricky",2475,23.6,0.226,0.131,0.303,0.357,0.266,,,38,168,,,,85,,112,316,268,,,,,,,,,
573,450351,"Wilson, C.J.",3441,16.7,0.123,0.09,0.181,0.213,0.212,,,15,122,,,,84.4,,77,236,337,,,,,,,,,
570,475416,"Masterson, Justin",3090,18.4,0.202,0.078,0.325,0.279,0.233,,,26,129,,,,83.1,,94,254,316,,,,,,,,,
569,150404,"Lilly, Ted",2907,19.6,0.284,0.277,0.276,0.561,0.382,,,42,148,,,,81.6,,44,272,297,,,,,,,,,
565,451596,"Gallardo, Yovani",3203,17.6,0.247,0.158,0.281,0.404,0.307,,,36,146,,,,87.4,,69,268,297,,,,,,,,,
560,425844,"Greinke, Zack",3445,16.3,0.156,0.083,0.289,0.24,0.193,,,30,192,,,,86.8,,105,289,271,,,,,,,,,
556,282332,"Sabathia, CC",3587,15.5,0.105,0.031,0.219,0.136,0.126,,,17,162,,,,82,,115,286,270,,,,,,,,,
555,452733,"Gorzelanny, Tom",2325,23.9,0.216,0.149,0.306,0.366,0.269,,,29,134,,,,79.6,,91,258,297,,,,,,,,,
555,119154,"Millwood, Kevin",3210,17.3,0.349,0.243,0.379,0.592,0.426,,,53,152,,,,83.8,,56,285,270,,,,,,,,,
548,502009,"Latos, Mat",2965,18.5,0.19,0.066,0.298,0.255,0.236,,,26,137,,,,84.9,,106,272,276,,,,,,,,,
543,150119,"Garcia, Freddy",2472,22,0.277,0.19,0.3,0.467,0.335,,,38,137,,,,80.5,,45,239,304,,,,,,,,,
542,136600,"Chen, Bruce",2414,22.5,0.304,0.165,0.324,0.47,0.348,,,35,115,,,,82.8,,36,261,281,,,,,,,,,
541,430963,"Pena, Ramon",1625,33.3,0.25,0.125,0.268,0.375,0.308,,,34,136,,,,85.6,,63,264,277,,,,,,,,,
539,434628,"Hammel, Jason",2837,19,0.25,0.099,0.313,0.349,0.281,,,38,152,,,,84.7,,68,256,283,,,,,,,,,
517,451532,"Billingsley, Chad",3134,16.5,0.165,0.087,0.27,0.252,0.196,,,21,127,,,,78.9,,81,234,283,,,,,,,,,
516,474463,"Anderson, Brett",1801,28.7,0.172,0.04,0.263,0.212,0.208,,,26,151,,,,84.2,,77,251,265,,,,,,,,,
515,425848,"Harden, Rich",1768,29.1,0.241,0.222,0.244,0.463,0.331,,,26,108,,,,82.7,,63,226,289,,,,,,,,,
514,493137,"Matsuzaka, Daisuke",2619,19.6,0.226,0.096,0.364,0.322,0.298,,,26,115,,,,82.2,,61,203,311,,,,,,,,,
507,451216,"Wilson, Brian",1305,38.9,0.207,0.058,0.304,0.264,0.238,,,25,121,,,,89.5,,54,205,302,,,,,,,,,
503,453344,"Morrow, Brandon",2523,19.9,0.147,0.073,0.368,0.22,0.193,,,22,150,,,,86.9,,126,277,226,,,,,,,,,
502,276371,"Santana, Johan",3004,16.7,0.257,0.079,0.327,0.336,0.288,,,36,140,,,,82,,57,260,242,,,,,,,,,
498,117955,"Lowe, Derek",3166,15.7,0.271,0.136,0.354,0.407,0.318,,,32,118,,,,81.4,,77,208,290,,,,,,,,,
489,456027,"Ohlendorf, Ross",1771,27.6,0.15,0.106,0.229,0.257,0.199,,,17,113,,,,80.9,,80,212,277,,,,,,,,,
488,433587,"Hernández, Félix",3731,13.1,0.163,0.041,0.276,0.204,0.206,,,16,98,,,,85.8,,73,194,294,,,,,,,,,
487,448802,"García, Jaime",2609,18.7,0.194,0.037,0.333,0.231,0.196,,,31,160,,,,85.2,,102,280,207,,,,,,,,,
487,453286,"Scherzer, Max",3297,14.8,0.184,0.078,0.237,0.262,0.212,,,19,103,,,,84.7,,90,219,268,,,,,,,,,
483,430884,"Crain, Jesse",1099,43.9,0.136,0.039,0.213,0.175,0.187,,,14,103,,,,86,,74,212,271,,,,,,,,,
480,476570,"Mazzaro, Vin",2074,23.1,0.186,0.159,0.208,0.345,0.253,,,27,145,,,,84.9,,74,264,216,,,,,,,,,
477,434622,"Jiménez, Ubaldo",3600,13.3,0.192,0.051,0.275,0.244,0.26,,,15,78,,,,86.8,,58,185,292,,,,,,,,,
