"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
16,519144,"Porcello, Rick",983,1.6,1,1.5,1,2.5,1.431,0.923,0.617,2,2,98.1,21,2397,85.9,85.54,3,16,0,-0.4000000000000057,5.84,104,151,124,143,290,318,292
11,594798,"deGrom, Jacob",1135,1,0.5,0.5,0.667,1,0.624,0.601,0.426,3,6,95.3,17.5,2577,92.6,93.9,3,11,0,1.3000000000000114,6.75,119,149,123,148,294,320,300
9,659275,"Lamet, Dinelson",1046,0.9,0.25,0,0.333,0.25,0.221,0.244,0.247,1,4,94.4,28.3,2627,85.8,85.02,2,9,0,-0.7999999999999972,5.92,125,152,150,150,296,329,315
9,656954,"Sheffield, Justus",880,1,0.2,0,0.25,0.2,0.177,0.143,0.142,1,5,88.7,30.5,2480,81.7,81.3,2,9,0,-0.4000000000000057,5.83,113,162,126,149,295,331,294
9,642545,"Barría, Jaime",511,1.8,0,0,0,0,0,0.015,0.017,0,5,85.7,20.5,2037,84.1,83.91,5,9,0,-0.19999999999998863,5.89,102,150,117,146,313,324,300
8,676604,"Zuber, Tyler",412,1.9,0.5,0,1,0.5,0.441,0.311,0.257,1,2,98.7,18,2669,84.3,84.09,4,8,0,-0.20000000000000284,5.96,103,147,115,144,305,330,297
8,543037,"Cole, Gerrit",1203,0.7,0,0,0,0,0,0.051,0.054,0,2,91.1,-26,2530,88,88.56,1,8,0,0.5999999999999943,6.42,110,152,127,149,296,327,285
7,572070,"Richards, Garrett",788,0.9,0.333,0,0.333,0.333,0.294,0.164,0.138,1,3,88.3,40.7,2913,87.6,87.63,1,7,0,0,6.04,102,148,117,146,302,332,314
7,571578,"Corbin, Patrick",1068,0.7,0,0,0,0,0,0.17,0.183,0,3,88.1,13.3,2185,76.7,77.34,0,7,0,0.5999999999999943,6.59,107,156,120,149,314,313,290
7,608331,"Fried, Max",899,0.8,0.5,0.25,0.667,0.75,0.53,0.214,0.192,2,4,82.8,27.7,2473,83.7,83.59,1,7,0,-0.10000000000000853,6.14,107,149,115,151,301,326,299
7,643511,"Rogers, Tyler",458,1.5,0.667,0,0.667,0.667,0.588,0.584,0.607,2,3,100.1,26,2289,71.5,70.4,0,7,0,-1.0999999999999943,5.77,107,151,116,148,300,319,286
7,607536,"Freeland, Kyle",1124,0.6,0,0,0,0,0,0.289,0.311,0,5,91.4,17.8,2452,86.9,87.73,1,7,0,0.7999999999999972,6.5,125,150,119,150,294,324,300
7,605538,"Wisler, Matt",453,1.5,0.5,0,0.5,0.5,0.441,0.448,0.408,1,2,92.8,12,2525,80.9,80.46,4,7,0,-0.4000000000000057,5.87,103,151,105,150,299,328,295
7,471911,"Carrasco, Carlos",1101,0.6,0.5,1,0.25,1.5,0.807,0.534,0.366,3,6,87,30.3,2744,86.3,87.04,0,7,0,0.7000000000000028,6.43,108,151,119,151,295,315,285
7,664199,"Clarke, Taylor",703,1,0,0,0,0,0,0.227,0.122,0,3,91.9,35,2170,85.5,85.5,2,7,0,0,6.03,104,142,112,141,308,329,304
7,628317,"Maeda, Kenta",986,0.7,0,0,0,0,0,0.145,0.156,0,3,80.5,15.7,2500,82.2,81.67,1,7,0,-0.5,5.97,113,156,123,151,301,329,294
7,664054,"Stashak, Cody",223,3.1,0.75,0.75,0.667,1.5,0.936,0.886,0.645,3,4,103.9,23.8,2322,81.6,80.76,0,7,0,-0.7999999999999972,5.66,106,147,111,144,302,338,297
6,592662,"Ray, Robbie",1064,0.6,0.333,1,0,1.333,0.66,0.68,0.349,1,3,104.2,38,2354,85.9,85.88,1,6,0,0,6.13,117,157,134,152,289,320,303
6,592836,"Walker, Taijuan",882,0.7,0,0,0,0,0,0.271,0.224,0,2,95.2,29.5,2303,85,84.85,0,6,0,-0.10000000000000853,6.03,117,160,133,148,301,324,286
6,453562,"Arrieta, Jake",729,0.8,0,0,,0,0,0,,0,1,,,2211,88.1,87.87,2,6,0,-0.19999999999998863,5.92,114,146,107,148,293,319,291
6,641745,"Keller, Brad",858,0.7,0,0,0,0,0,0.047,0.05,0,4,88.8,41.3,2564,83.5,83.13,1,6,0,-0.4000000000000057,5.78,102,159,126,149,306,323,296
6,571666,"Fiers, Mike",916,0.7,0.5,0,0.5,0.5,0.441,0.68,0.717,1,2,102.1,7.5,2190,84.9,84.32,1,6,0,-0.6000000000000085,5.53,103,147,120,152,301,333,310
6,676606,"Margevicius, Nick",679,0.9,0,0,0,0,0,0.058,0.059,0,1,83.4,-38,1805,83.7,84.52,3,6,0,0.7999999999999972,6.6,104,154,119,147,292,322,289
6,501985,"Minor, Mike",979,0.6,,,,,,,,,,,,2803,85.9,85.63,1,6,0,-0.20000000000000284,5.77,99,150,123,147,304,323,294
6,457918,"Happ, J.A.",787,0.8,1,0,1,1,0.883,0.904,0.933,1,1,96.1,13,2329,84.5,84.48,4,6,0,0,6.05,114,148,110,151,291,318,288
6,547942,"Kim, Kwang Hyun",613,1,0,0,0,0,0,0.003,0.002,0,3,89.8,53,2141,83,84.15,2,6,0,1.2000000000000028,6.75,116,153,114,148,301,318,297
6,621366,"Borucki, Ryan",322,1.9,0,0,0,0,0,0.06,0.036,0,3,85.3,56.7,2398,86,86.15,1,6,0,0.20000000000000284,6.32,104,152,115,149,288,312,293
6,657140,"Wright, Kyle",641,0.9,0.5,1.5,0,2,0.99,0.96,0.539,2,4,94.1,14.8,2490,88.8,88.73,0,6,0,-0.09999999999999432,5.97,110,151,121,152,300,329,295
5,656302,"Cease, Dylan",1085,0.5,0,0,0,0,0,0.006,0.006,0,2,75.2,65,2759,83.7,83.32,1,5,0,-0.4000000000000057,5.98,106,148,116,149,297,317,294
5,668676,"Plesac, Zach",776,0.6,,,,,,,,,,,,2110,86.1,86.58,4,5,0,0.5,6.24,103,153,118,149,293,321,291
5,664141,"Brubaker, JT",804,0.6,0,0,,0,0,0,,0,1,,,2610,87.2,87.1,2,5,0,-0.10000000000000853,5.98,106,149,123,152,301,321,306
5,592390,"Hembree, Heath",363,1.4,1,1,0.5,2,0.619,0.419,0.48,1,1,97.6,20.5,2711,88.1,89,2,5,0,0.9000000000000057,6.48,97,149,118,141,296,323,286
5,605164,"Bundy, Dylan",1018,0.5,0,0,0,0,0,0.006,0.006,0,2,80.5,61,2582,80.2,79.76,3,5,0,-0.4000000000000057,5.86,108,151,120,142,299,321,289
5,596001,"Junis, Jakob",394,1.3,0,0,0,0,0,0.048,0.051,0,2,55.1,-22,2466,80.3,79.94,1,5,0,-0.3999999999999915,5.82,115,153,128,147,300,325,302
5,664126,"Fairbanks, Pete",490,1,0,0,0,0,0,0.004,0.004,0,2,89.9,67,2376,87.7,88.68,2,5,0,1,6.76,117,163,112,145,292,316,299
5,608337,"Giolito, Lucas",1214,0.4,1,3,,4,1.979,0.404,0.227,1,1,94.9,30,2084,84,84.74,2,5,0,0.7000000000000028,6.54,111,152,121,149,300,321,289
5,605482,"Sneed, Cy",336,1.5,0.25,0.25,0.25,0.5,0.31,0.562,0.305,1,4,94.3,31.3,2187,82,81.92,0,5,0,-0.09999999999999432,6.26,117,150,114,150,286,315,292
