"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
86,605397,"Musgrove, Joe",2938,2.9,0.235,0.088,0.259,0.324,0.233,0.302,0.299,8,34,85.2,10.7,2746,83.9,83.19,23,86,0,-0.7000000000000028,5.91,114,155,129,146,297,320,308
84,592351,"Gray, Jon",2537,3.3,0.172,0.069,0.227,0.241,0.177,0.171,0.162,5,29,83.8,15.2,2417,87,87.53,30,84,0,0.5,6.34,110,152,122,147,298,329,303
73,663903,"Singer, Brady",2287,3.2,0.345,0.103,0.333,0.448,0.342,0.433,0.393,10,29,89.1,5.3,2395,85.6,86.12,11,73,0,0.5,6.5,108,156,118,146,300,322,297
69,664141,"Brubaker, JT",1944,3.5,0.185,0.111,0.25,0.296,0.205,0.221,0.209,5,27,84,10.7,2646,87.1,86.67,33,69,0,-0.3999999999999915,5.86,110,151,121,146,303,321,291
68,453286,"Scherzer, Max",2821,2.4,0.121,0.061,0.16,0.182,0.129,0.14,0.14,4,33,80.3,9.7,2290,86.1,86.09,27,68,0,0,6.19,107,152,116,148,304,322,292
65,543101,"DeSclafani, Anthony",2558,2.5,0.192,0,0.208,0.192,0.169,0.304,0.275,5,26,89,8.1,2248,87.9,88.76,16,65,0,0.8999999999999915,6.57,112,154,115,150,298,320,292
65,554430,"Wheeler, Zack",3205,2,0.303,0.121,0.357,0.424,0.31,0.296,0.284,10,33,90.7,3.8,2397,91.2,91.43,15,65,0,0.20000000000000284,7.13,112,153,113,148,295,323,292
63,660623,"Ynoa, Huascar",1482,4.3,0.308,0.154,0.35,0.462,0.328,0.345,0.317,8,26,87.8,5.3,2435,85.3,85.16,20,63,0,-0.09999999999999432,6.08,111,150,121,149,303,322,296
61,640470,"Alzolay, Adbert",1955,3.1,0.259,0.074,0.333,0.333,0.255,0.219,0.225,7,27,84.3,9.5,2613,86.3,86.71,22,61,0,0.4000000000000057,6.28,110,154,119,149,296,319,294
60,608337,"Giolito, Lucas",2970,2,0.286,0.071,0.308,0.357,0.277,0.289,0.297,8,28,86.9,3,2046,85.5,86.3,19,60,0,0.7999999999999972,6.59,107,153,117,148,301,322,296
59,622608,"Senzatela, Antonio",2405,2.5,0.344,0.125,0.407,0.469,0.347,0.286,0.248,11,32,89.5,5,2073,86.1,86.03,11,59,0,-0.09999999999999432,6.04,104,152,122,145,305,333,303
59,641745,"Keller, Brad",2348,2.5,0.24,0.04,0.25,0.28,0.217,0.354,0.327,6,25,87.8,3.2,2594,86,85.43,11,59,0,-0.5999999999999943,5.76,109,160,117,145,298,322,303
57,645261,"Alcantara, Sandy",3095,1.8,0.259,0,0.368,0.259,0.228,0.218,0.215,7,27,85.5,2.7,2365,90.4,89.76,23,57,0,-0.6000000000000085,5.93,109,149,115,148,302,314,281
57,641816,"Mahle, Tyler",3196,1.8,0.333,0.333,0.25,0.667,0.418,0.477,0.397,9,27,87,9.8,2560,87.1,87.98,9,57,0,0.9000000000000057,6.59,112,154,118,147,305,321,289
54,543475,"Lyles, Jordan",2964,1.8,0.276,0.241,0.231,0.517,0.322,0.3,0.258,8,29,85.2,11,2651,83.4,84.32,15,54,0,0.8999999999999915,6.74,111,152,124,147,302,325,294
53,656302,"Cease, Dylan",2957,1.8,0.316,0,0.4,0.316,0.278,0.349,0.374,6,19,83.1,8.5,2861,85.9,85.72,24,53,0,-0.20000000000000284,5.95,113,154,114,149,299,318,295
53,605452,"Ross, Joe",1700,3.1,0.185,0.185,0.19,0.37,0.231,0.309,0.239,5,27,86.3,0.4,1911,85.2,85.71,17,53,0,0.5,6.57,109,156,119,149,304,322,293
52,628317,"Maeda, Kenta",1775,2.9,0.5,0.167,0.6,0.667,0.5,0.304,0.319,6,12,89.5,11.2,2519,82.3,81.54,19,52,0,-0.7999999999999972,5.86,103,157,118,148,298,328,293
52,543037,"Cole, Gerrit",2969,1.8,0.2,0.2,0.176,0.4,0.25,0.417,0.331,4,20,87.7,-7.2,2606,88.4,88.88,19,52,0,0.5,6.4,109,153,123,148,300,328,289
47,572193,"Tepera, Ryan",948,5,0.136,0.227,0.111,0.364,0.186,0.184,0.175,3,22,79.6,-0.1,2344,86.3,86.86,17,47,0,0.6000000000000085,6.42,106,152,118,147,298,320,296
47,543521,"McHugh, Collin",972,4.8,0.167,0.125,0.222,0.292,0.19,0.2,0.191,4,24,81.2,11,2777,79.4,79.42,13,47,0,0,6.6,108,155,119,150,299,320,294
46,605538,"Wisler, Matt",787,5.8,0.296,0.037,0.364,0.333,0.274,0.234,0.242,8,27,85,24.2,2531,81.6,80.87,8,46,0,-0.6999999999999886,5.93,109,158,119,149,299,320,292
46,668676,"Plesac, Zach",2205,2.1,0.2,0,0.231,0.2,0.176,0.153,0.158,3,15,84.4,-9.5,2039,86.8,87.04,19,46,0,0.20000000000000284,6.2,112,154,121,149,299,317,288
45,608566,"Márquez, Germán",2788,1.6,0.125,0,0.25,0.125,0.11,0.114,0.115,2,16,79,0.1,2445,86.6,85.63,24,45,0,-1,5.36,109,153,122,147,302,330,303
45,642547,"Peralta, Freddy",2356,1.9,0.211,0.263,0.231,0.474,0.283,0.213,0.184,4,19,79.4,13.3,2273,80.7,80.24,18,45,0,-0.5,7.17,108,153,116,147,300,321,295
44,506433,"Darvish, Yu",2769,1.6,0.174,0,0.222,0.174,0.153,0.239,0.241,4,23,82.7,20.7,2795,82.5,82.19,12,44,0,-0.29999999999999716,6.23,115,157,134,147,300,321,310
43,592314,"Foltynewicz, Mike",2236,1.9,0.188,0.313,0.182,0.5,0.281,0.243,0.223,3,16,80.8,9.6,2430,83,83.03,13,43,0,0,6.14,114,154,124,147,302,329,294
42,640444,"Crowe, Wil",2171,1.9,0.25,0,0.25,0.25,0.22,0.301,0.295,6,24,85.2,8.8,2711,85.2,85.59,7,42,0,0.3999999999999915,6.39,109,154,118,148,300,320,288
42,552640,"Kittredge, Andrew",982,4.3,0.2,0,0.235,0.2,0.176,0.17,0.173,4,20,84.3,2.8,2727,89.2,89.97,10,42,0,0.7999999999999972,6.61,104,152,117,146,301,321,291
42,605130,"Barlow, Scott",1223,3.4,0.364,0.182,0.5,0.545,0.386,0.305,0.32,4,11,83.4,23.3,2405,85,86.08,18,42,0,1.0999999999999943,6.77,107,156,119,143,299,321,298
41,641755,"Kinley, Tyler",1143,3.6,0.235,0.176,0.214,0.412,0.273,0.262,0.22,4,17,84.5,14.9,2658,90.6,89.75,11,41,0,-0.8999999999999915,5.57,108,149,120,145,297,326,300
41,489265,"Romo, Sergio",1043,3.9,0.273,0.273,0.313,0.545,0.34,0.323,0.28,6,22,86.3,16.1,2839,76.7,76.69,14,41,0,0,6.39,108,149,123,147,302,327,298
40,669456,"Bieber, Shane",1559,2.6,0.118,0.059,0.154,0.176,0.125,0.184,0.168,2,17,82.1,11,2685,85.7,86.43,16,40,0,0.7000000000000028,6.49,109,154,120,148,297,322,289
40,518813,"Holland, Greg",997,4,0.111,0,0.125,0.111,0.098,0.33,0.298,2,18,85.9,-0.2,2100,85.8,85.79,10,40,0,0,6.11,107,155,116,142,298,321,298
40,650895,"Castillo, Diego",936,4.3,0.25,0.063,0.333,0.313,0.242,0.257,0.258,4,16,93.2,2,2292,87.3,86.42,11,40,0,-0.8999999999999915,5.36,111,152,118,143,298,323,295
39,594798,"deGrom, Jacob",1226,3.2,0.176,0.059,0.3,0.235,0.176,0.249,0.26,3,17,90,-1.2,2580,91.3,92.61,15,39,0,1.2999999999999972,6.81,119,152,114,149,299,325,299
39,592791,"Taillon, Jameson",2372,1.6,0.45,0.05,0.474,0.5,0.414,0.284,0.299,9,20,83.2,15.9,2520,87,87.81,9,39,0,0.7999999999999972,6.63,104,152,120,147,300,328,285
39,621111,"Buehler, Walker",3152,1.2,0.25,0.1,0.385,0.35,0.256,0.149,0.144,5,20,87.4,6.8,2809,84.7,82.83,14,39,0,-1.9000000000000057,6.43,110,154,114,150,308,316,286
39,502043,"Gibson, Kyle",2881,1.4,0.158,0.053,0.188,0.211,0.158,0.171,0.17,3,19,84.1,17.8,2471,83.2,83.65,11,39,0,0.5,6.55,114,154,119,148,295,324,293
39,608638,"Chargois, JT",876,4.5,0.105,0.158,0.091,0.263,0.152,0.176,0.176,2,19,85.7,16.9,2236,87.9,88.11,15,39,0,0.19999999999998863,6.35,107,154,118,148,294,319,291
39,605242,"Fulmer, Michael",1183,3.3,0.278,0,0.333,0.278,0.244,0.238,0.249,5,18,77.7,5.9,2423,91.3,91.88,9,39,0,0.6000000000000085,6.56,108,153,119,148,298,329,300
39,429722,"Santana, Ervin",1063,3.7,0.2,0.067,0.25,0.267,0.2,0.379,0.337,3,15,84.8,8.4,2295,84.4,84.3,13,39,0,-0.10000000000000853,6,105,152,117,143,302,324,301
