"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
41,519144,"Porcello, Rick",3095,1.3,0.235,0.059,0.235,0.294,0.229,0.357,0.311,4,17,91.2,25.8,2497,85.5,84.73,6,41,0,-0.7999999999999972,5.62,108,155,114,148,285,318,293
33,477132,"Kershaw, Clayton",2360,1.4,0.208,0.25,0.158,0.458,0.279,0.339,0.273,5,24,87.2,12.6,2517,87.8,87.82,7,33,0,0,6.06,107,152,112,147,293,316,292
28,571945,"Mikolas, Miles",3004,0.9,0.308,0.231,0.3,0.538,0.359,0.425,0.353,4,13,90.8,23.9,2383,88.1,87.99,9,28,0,-0.09999999999999432,6,115,147,109,149,298,316,298
27,453562,"Arrieta, Jake",2759,1,0,0,0,0,0,0.047,0.048,0,9,87.6,38.7,2469,89.2,88.66,8,27,0,-0.5,5.73,113,164,117,151,294,327,299
26,434628,"Hammel, Jason",2070,1.3,0.25,0.375,0.143,0.625,0.364,0.551,0.409,2,8,89.8,20.5,2459,85.2,85.05,5,26,0,-0.10000000000000853,5.99,112,147,114,145,298,321,297
25,502042,"Archer, Chris",2504,1,0.222,0,0.333,0.222,0.195,0.204,0.215,2,9,93,-0.5,2574,87.8,86.46,7,25,0,-1.2999999999999972,5.38,111,150,117,147,300,323,293
23,468504,"Chacín, Jhoulys",3007,0.8,0.25,0.125,0.222,0.375,0.236,0.302,0.317,2,8,87.7,21.1,2299,79.6,78.09,2,23,0,-1.5,5.25,102,152,111,147,304,320,297
23,592351,"Gray, Jon",2798,0.8,0.273,0.364,0.222,0.636,0.378,0.208,0.204,3,11,87.7,10,2157,87.5,87.84,2,23,0,0.29999999999999716,6.23,109,149,118,145,302,323,305
23,605541,"Wright Jr., Mike",1560,1.5,0.364,0.364,0.429,0.727,0.458,0.358,0.304,4,11,84.6,26,2151,88.9,88.43,6,23,0,-0.5,5.92,112,152,111,147,295,318,293
22,605498,"Suárez, Andrew",2485,0.9,0.333,0.111,0.429,0.444,0.334,0.217,0.224,3,9,94.5,7,2138,89,87.36,4,22,0,-1.5999999999999943,5.01,107,147,111,144,300,319,293
22,571666,"Fiers, Mike",2667,0.8,0.4,0.4,0.333,0.8,0.504,0.448,0.353,4,10,93.6,17,2342,85.5,85.41,2,22,0,-0.09999999999999432,6.07,110,147,110,149,294,319,294
22,596001,"Junis, Jakob",2838,0.8,0.182,0,0.182,0.182,0.147,0.27,0.181,2,11,85.6,16.7,2446,82.3,81.2,4,22,0,-1.0999999999999943,5.45,107,150,111,144,299,320,302
22,571510,"Boyd, Matthew",2855,0.8,0.333,0,0.375,0.333,0.293,0.28,0.278,3,9,83.7,21.9,2317,81,80.17,4,22,0,-0.7999999999999972,5.66,105,150,115,145,297,317,287
21,548389,"Stripling, Ross",1930,1.1,0.4,0.4,0.5,0.8,0.499,0.193,0.192,2,5,90.4,37,2350,86.7,85.99,8,21,0,-0.7000000000000028,5.54,102,149,111,147,303,322,302
20,518774,"Harvey, Matt",2531,0.8,0.1,0,0.1,0.1,0.088,0.259,0.22,1,10,87,29.1,2361,88.5,88.03,6,20,0,-0.5,5.8,116,149,111,145,298,313,292
20,434378,"Verlander, Justin",3423,0.6,0,0,0,0,0,0.031,0.021,0,7,86.3,44.2,2671,85.5,84.76,3,20,0,-0.7000000000000028,5.8,108,152,116,153,287,316,293
20,592662,"Ray, Robbie",2284,0.9,0,0,0,0,0,0.24,0.252,0,6,91,19.5,2064,84.7,84.29,5,20,0,-0.4000000000000057,5.95,107,152,116,151,299,325,297
19,607536,"Freeland, Kyle",3247,0.6,0.375,0.5,0.222,0.875,0.416,0.521,0.419,3,8,90.1,27,2214,86.2,86.6,5,19,0,0.3999999999999915,6.29,106,148,105,145,291,321,305
18,605276,"Hess, David",1750,1,0.333,0,0.429,0.333,0.293,0.18,0.191,3,9,81.7,-6.3,2330,80.4,78.68,3,18,0,-1.7000000000000028,5.19,109,151,114,144,294,316,296
17,543037,"Cole, Gerrit",3257,0.5,0.4,0.6,0.5,1,0.582,0.073,0.068,2,5,78.5,15.7,2587,88,87.58,6,17,0,-0.4000000000000057,5.82,107,151,118,148,289,314,285
16,591693,"Ramos, Edubray",730,2.2,0,0,0,0,0,0.037,0.029,0,7,80.9,54.5,2541,83,82.11,6,16,0,-0.9000000000000057,5.61,103,151,115,144,295,319,293
16,501985,"Minor, Mike",2549,0.6,0.5,0,0.5,0.5,0.44,0.305,0.315,3,6,87.9,30,2535,87,86.14,0,16,0,-0.9000000000000057,5.54,108,150,109,146,292,316,295
16,570632,"Ureña, José",2770,0.6,0.333,0.111,0.6,0.444,0.334,0.238,0.254,3,9,73.1,-8.4,2246,86,85.61,6,16,0,-0.4000000000000057,5.96,103,150,110,148,303,325,292
16,573064,"Nuño, Vidal",500,3.2,0.25,0.75,0,1,0.508,0.12,0.069,1,4,88,49.3,2492,85.6,84.36,8,16,0,-1.1999999999999886,5.37,108,154,120,146,301,320,289
16,571927,"Matz, Steven",2692,0.6,0.143,0,0.25,0.143,0.126,0.085,0.07,1,7,89.2,3.5,2074,87.9,87.97,7,16,0,0.20000000000000284,6.38,109,150,109,144,296,320,294
15,592791,"Taillon, Jameson",2947,0.5,0,0,0,0,0,0.195,0.204,0,7,82,26.4,2351,89.2,89.16,1,15,0,0,6.07,104,150,117,148,304,321,307
15,642545,"Barría, Jaime",2171,0.7,0.143,0.143,0.143,0.286,0.178,0.294,0.29,1,7,92.7,34,2265,82.1,81.05,1,15,0,-1.0999999999999943,5.37,108,151,111,146,300,319,299
15,625643,"López, Reynaldo",3083,0.5,0.333,0.111,0.429,0.444,0.334,0.19,0.188,3,9,90.5,17,2096,84.2,84.31,3,15,0,0.09999999999999432,6.11,113,152,116,147,292,313,293
15,598271,"Johnson, Brian",1710,0.9,0.333,0,0.333,0.333,0.293,0.121,0.118,1,3,80.5,37,2411,78.2,77.36,3,15,0,-0.7999999999999972,5.78,111,149,113,150,278,315,294
15,573185,"Straily, Dan",2136,0.7,0.4,0,0.667,0.4,0.352,0.22,0.222,2,5,76.5,19,2536,83.5,82.93,3,15,0,-0.5999999999999943,5.82,111,151,109,149,297,321,300
15,475115,"Ross, Tyson",2497,0.6,0,0,0,0,0,0.139,0.133,0,9,89.4,29.1,2544,84.4,82.71,2,15,0,-1.7000000000000028,5.13,116,150,111,150,299,320,302
14,608337,"Giolito, Lucas",3005,0.5,0.167,0,0.167,0.167,0.147,0.188,0.178,1,6,81.3,27.7,1986,83.5,83.09,2,14,0,-0.4000000000000057,5.86,110,151,106,149,293,311,290
14,621107,"Eflin, Zach",2040,0.7,0.111,0.111,0.125,0.222,0.139,0.22,0.231,1,9,84.8,18.7,2198,85.6,85.55,3,14,0,-0.09999999999999432,6.08,108,156,115,148,294,321,288
14,605164,"Bundy, Dylan",2838,0.5,0.2,0,0.25,0.2,0.176,0.17,0.179,1,5,81.8,9,2485,81.4,80.21,1,14,0,-1.2000000000000028,5.34,109,150,114,146,293,316,293
13,572070,"Richards, Garrett",1313,1,0.333,0.5,0.25,0.833,0.485,0.323,0.245,2,6,90.6,21.2,2906,88.7,87.25,3,13,0,-1.4000000000000057,5.33,112,152,110,148,292,319,300
13,669456,"Bieber, Shane",1802,0.7,0.125,0,0.143,0.125,0.11,0.179,0.19,1,8,88.6,31.3,2245,82.9,82.64,1,13,0,-0.30000000000001137,5.85,111,155,113,152,287,317,296
13,592390,"Hembree, Heath",1103,1.2,0.333,0.556,0.286,0.889,0.499,0.363,0.279,3,9,93,36,2591,88.6,88.85,2,13,0,0.20000000000000284,6.2,112,149,118,148,278,313,291
13,594798,"deGrom, Jacob",3210,0.4,0.4,0,0.4,0.4,0.352,0.196,0.216,2,5,88.1,27.8,2487,90.5,91.53,3,13,0,1,6.56,113,154,110,151,295,320,303
13,434538,"Liriano, Francisco",2262,0.6,0,0,0,0,0,0.019,0.018,0,6,81,29,2273,84.5,83.96,3,13,0,-0.5,5.87,106,148,113,147,291,317,288
12,601713,"Pivetta, Nick",2760,0.4,0,0,0,0,0,0.115,0.101,0,8,82.7,42.3,2493,84,84.19,2,12,0,0.20000000000000284,6.28,102,150,115,144,299,323,282
