"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
29,434378,"Verlander, Justin",2607,1.1,0.111,0,0.25,0.111,0.098,0.094,0.095,1,9,75,47.3,2445,87.6,87.23,6,29,0,-0.3999999999999915,6.04,119,156,121,149,292,322,292
24,643511,"Rogers, Tyler",1166,2.1,0.091,0.182,0.125,0.273,0.133,0.146,0.098,1,11,86.4,30.6,2333,72.6,71.57,10,24,0,-1,5.98,107,150,116,147,301,323,286
24,668676,"Plesac, Zach",2150,1.1,0.2,0.3,0.125,0.5,0.296,0.36,0.268,2,10,94.2,9.4,2123,85.4,85.39,5,24,0,0,6.05,105,156,126,148,296,319,292
23,605242,"Fulmer, Michael",1043,2.2,0.1,0,0.2,0.1,0.088,0.099,0.075,1,10,79.8,23,2448,91.1,91.61,8,23,0,0.5,6.47,106,152,123,142,308,329,291
23,663474,"McKenzie, Triston",2807,0.8,0.231,0.154,0.231,0.385,0.259,0.262,0.244,3,13,94,22,2192,87.3,88.19,2,23,0,0.9000000000000057,6.63,110,156,122,148,295,318,295
20,656302,"Cease, Dylan",3120,0.6,0.25,0,0.333,0.25,0.221,0.256,0.22,2,8,90.2,16.5,2857,87.1,86.93,7,20,0,-0.19999999999998863,6.01,109,152,117,149,300,328,298
19,660271,"Ohtani, Shohei",2629,0.7,0,0,0,0,0,0.191,0.192,0,9,79.6,33.3,2547,86.5,87.15,8,19,0,0.5999999999999943,6.72,112,152,113,149,295,322,293
19,656605,"Keller, Mitch",2661,0.7,0.308,0.077,0.308,0.385,0.28,0.416,0.385,4,13,89.1,18.1,2691,83.2,83.17,1,19,0,0,6.29,101,149,116,148,308,319,290
19,571945,"Mikolas, Miles",3152,0.6,0.5,0.75,0.333,1.25,0.739,0.38,0.33,4,8,81.6,10,2373,87.8,88.12,6,19,0,0.29999999999999716,6.3,114,153,106,148,298,322,301
18,554430,"Wheeler, Zack",2358,0.8,0.571,0,0.571,0.571,0.505,0.458,0.462,4,7,71,30.9,2481,91.6,93.31,1,18,0,1.7000000000000028,7.17,113,146,107,145,285,325,299
18,643493,"Pruitt, Austin",809,2.2,0,0,0,0,0,0.024,0.02,0,2,82.2,58,2530,87.6,86.79,8,18,0,-0.7999999999999972,5.61,114,149,120,150,300,320,297
18,643377,"Jax, Griffin",1157,1.6,0.167,0.5,0,0.667,0.296,0.539,0.389,1,6,90.1,24.3,2826,86.3,85.76,4,18,0,-0.5,5.83,112,154,117,147,298,330,289
17,601713,"Pivetta, Nick",3082,0.6,0.143,0,0.167,0.143,0.126,0.345,0.262,1,7,85.6,24.5,2296,85.3,86.24,3,17,0,0.9000000000000057,6.74,114,159,125,151,290,325,294
17,608337,"Giolito, Lucas",2753,0.6,0.25,0,0.25,0.25,0.221,0.364,0.38,2,8,93.8,22.4,1951,83.6,84.44,2,17,0,0.8000000000000114,6.67,111,155,116,150,299,328,294
15,502042,"Archer, Chris",1787,0.8,0.125,0.125,0.167,0.25,0.14,0.149,0.144,1,8,89.9,39.2,2489,88.9,88.81,3,15,0,-0.10000000000000853,6.06,113,153,122,147,302,330,290
15,592789,"Syndergaard, Noah",2026,0.7,0.333,0.556,0.333,0.889,0.511,0.526,0.358,3,9,95.6,12,2144,85.1,85.73,3,15,0,0.6000000000000085,6.57,106,151,114,149,302,321,287
15,664299,"Javier, Cristian",2554,0.6,0.5,0.1,0.625,0.6,0.48,0.268,0.272,5,10,85.1,31,2677,80,79.18,4,15,0,-0.7999999999999972,5.91,108,155,125,149,294,324,297
14,596295,"Gomber, Austin",2059,0.7,0.6,0.2,0.6,0.8,0.606,0.419,0.422,6,10,86.7,26.9,2410,83.7,84.78,1,14,0,1.0999999999999943,6.52,105,147,121,144,301,331,301
14,605538,"Wisler, Matt",749,1.9,0.333,0.167,0.333,0.5,0.358,0.327,0.328,2,6,83.3,40,2510,80,79.07,3,14,0,-0.9000000000000057,5.78,110,161,114,147,295,321,294
14,669330,"Wells, Tyler",1649,0.8,0,0,0,0,0,0.068,0.073,0,3,75.5,49.3,2545,87,87.38,2,14,0,0.4000000000000057,6.3,104,155,121,149,305,321,295
14,592836,"Walker, Taijuan",2499,0.6,0.2,0.6,0,0.8,0.414,0.237,0.193,1,5,86.8,38.8,2330,84.1,83.64,2,14,0,-0.5,5.9,100,153,120,146,299,331,299
13,641771,"Kuhl, Chad",2375,0.5,0,0,0,0,0,0.035,0.037,0,4,84.5,23.5,2575,86.7,87.1,4,13,0,0.3999999999999915,6.25,109,151,124,146,305,329,298
13,669302,"Gilbert, Logan",3015,0.4,0,0,0,0,0,0.381,0.221,0,7,89.6,17.8,2274,86.4,88.25,3,13,0,1.8999999999999915,7.22,113,154,124,147,292,325,294
12,666374,"Brash, Matt",935,1.3,0,0,0,0,0,0.048,0.053,0,2,51.7,47,2921,87.7,87.85,4,12,0,0.20000000000000284,6.41,111,154,122,147,293,323,289
11,605521,"Warren, Art",655,1.7,0.4,0,0.4,0.4,0.354,0.5,0.342,2,5,89.2,33.4,2475,85.5,85.56,0,11,0,0.09999999999999432,6.31,114,150,122,145,294,320,287
11,657248,"Otto, Glenn",2229,0.5,0,0,0,0,0,0.222,0.097,0,8,83.2,35,2550,81.5,81.92,2,11,0,0.4000000000000057,6.72,113,148,109,146,298,315,292
11,650895,"Castillo, Diego",839,1.3,0.286,0,0.333,0.286,0.253,0.273,0.21,2,7,90,17.2,2296,88.8,87.84,3,11,0,-1,5.31,107,152,121,145,297,320,283
11,453268,"Bard, Daniel",953,1.2,0.333,0,0.333,0.333,0.295,0.376,0.393,1,3,84.1,11.7,2798,89.5,89.53,4,11,0,0,6,111,149,118,142,300,320,289
11,664199,"Clarke, Taylor",859,1.3,0,0,0,0,0,0.098,0.052,0,3,91.8,24.5,2162,88,88.13,4,11,0,0.09999999999999432,6.11,111,153,120,147,309,324,299
11,543475,"Lyles, Jordan",2988,0.4,0.2,0,0.2,0.2,0.177,0.123,0.13,1,5,82.5,39.4,2609,80.1,80.43,2,11,0,0.30000000000001137,6.62,111,152,117,149,305,320,287
11,670036,"Festa, Matthew",897,1.2,0.333,0.5,0.2,0.833,0.493,0.375,0.338,2,6,84,20.3,2573,82.9,82.83,2,11,0,-0.10000000000000853,6.32,113,154,122,146,292,320,293
11,669456,"Bieber, Shane",2875,0.4,0,0,0,0,0,0.041,0.039,0,7,84,22.1,2490,84.9,85.99,1,11,0,1.0999999999999943,6.63,105,153,113,149,298,318,287
11,592662,"Ray, Robbie",3047,0.4,0.4,0,0.4,0.4,0.354,0.474,0.493,2,5,96.4,-6.6,2128,86.6,87.1,2,11,0,0.5,6.35,111,154,122,145,295,322,288
10,672282,"Detmers, Reid",2181,0.5,0.167,0,0.5,0.167,0.147,0.241,0.207,1,6,78.9,-9.7,2147,84.9,83.98,5,10,0,-0.9000000000000057,5.62,116,153,113,149,295,322,289
10,664353,"Urquidy, José",2640,0.4,0,0,0,0,0,0.436,0.312,0,5,92.6,17.8,2623,80.6,79.91,0,10,0,-0.6999999999999886,5.91,113,156,118,148,300,322,283
10,657093,"Watkins, Spenser",1642,0.6,0.143,0.143,0.143,0.286,0.18,0.153,0.154,1,7,92.7,41.1,2583,78.8,78.24,1,10,0,-0.5999999999999943,6.04,106,155,117,150,307,321,291
10,664208,"Maton, Phil",1089,0.9,0,0,0,0,0,0.075,0.083,0,1,76.6,38,2676,80.7,81.39,4,10,0,0.7000000000000028,6.94,103,145,111,139,300,325,293
10,643256,"Cimber, Adam",1044,1,0.429,0.429,0.4,0.857,0.549,0.432,0.323,3,7,76.8,26.2,2351,78,77.6,3,10,0,-0.4000000000000057,6.43,104,154,118,147,301,316,295
10,663738,"Lynch, Daniel",2434,0.4,0.286,0,0.333,0.286,0.253,0.233,0.251,2,7,90.8,19.5,2016,85.5,86.24,2,10,0,0.7000000000000028,6.84,111,158,117,147,310,325,302
10,592351,"Gray, Jon",2062,0.5,0.2,0.6,0,0.8,0.414,0.386,0.24,1,5,89,39.8,2448,84.8,84.7,2,10,0,-0.09999999999999432,6.32,109,154,122,148,296,320,293
10,493603,"Ottavino, Adam",1057,0.9,0.25,0,0.333,0.25,0.221,0.243,0.267,1,4,81.1,7,2698,81.1,81.28,3,10,0,0.20000000000000284,6.71,111,149,119,143,304,325,295
10,672710,"Contreras, Roansy",1588,0.6,0.333,0.333,0.5,0.667,0.414,0.393,0.317,2,6,98.6,25,2447,84.4,84.55,2,10,0,0.09999999999999432,6.29,112,154,120,150,307,324,297
10,605135,"Bassitt, Chris",2886,0.3,0,0,0,0,0,0.053,0.057,0,4,85.5,22,2320,78.5,78.02,3,10,0,-0.5,6.17,114,159,117,151,297,326,303
10,506433,"Darvish, Yu",2971,0.3,0.4,0,0.4,0.4,0.354,0.237,0.249,2,5,84.7,16.8,2738,83,83.12,1,10,0,0.09999999999999432,6.48,112,163,118,150,307,325,294
10,656793,"Nelson, Nick",1204,0.8,0.333,0,0.5,0.333,0.295,0.289,0.281,1,3,96.8,7.5,2278,90.1,90.09,2,10,0,0.09999999999999432,6.21,104,147,120,143,294,327,295
10,528748,"Castellanos, Humberto",748,1.3,0.6,0.8,0.667,1.4,0.843,0.447,0.271,3,5,90.9,24,2052,86.3,85.84,1,10,0,-0.5,5.95,108,149,122,151,298,326,301
9,605164,"Bundy, Dylan",2180,0.4,0.167,0.167,0.25,0.333,0.21,0.147,0.142,1,6,94.3,33.3,2387,78.5,77.89,2,9,0,-0.5999999999999943,5.6,112,153,123,148,296,329,295
9,641582,"Foster, Matt",768,1.2,0.25,0,0.25,0.25,0.221,0.308,0.318,1,4,81.6,29.3,2289,85.3,85.19,1,9,0,-0.09999999999999432,6.07,109,152,118,149,300,324,291
9,656257,"Brigham, Jeff",419,2.1,0,0,0,0,0,0.116,0.112,0,2,82.1,51,2851,82.2,81.48,2,9,0,-0.7000000000000028,5.97,114,153,121,148,296,311,289
9,669618,"Barlow, Joe",554,1.6,,,,,,,,,,,,2258,87.2,87.16,7,9,0,0,6.08,109,151,112,146,299,317,290
9,605488,"Springs, Jeffrey",2149,0.4,0,0,0,0,0,0.429,0.33,0,2,98.6,22,2153,85.1,85.44,4,9,0,0.30000000000001137,6.37,106,167,113,151,298,327,299
9,663372,"Feltner, Ryan",1675,0.5,0.25,0,0.333,0.25,0.221,0.268,0.292,1,4,82.1,29.7,2495,84,84.54,2,9,0,0.5,6.37,113,149,119,149,304,330,304
9,664062,"Gonsolin, Tony",2015,0.4,0,0,0,0,0,0.102,0.106,0,4,84,22,2499,87.8,87.66,1,9,0,-0.09999999999999432,5.94,111,154,121,148,303,317,289
8,656412,"Faedo, Alex",967,0.8,0.5,1.5,0,2,1.036,0.518,0.259,1,2,94.7,40.5,2404,85.7,85.16,2,8,0,-0.5,5.86,101,150,114,147,305,328,298
8,656876,"Rasmussen, Drew",2239,0.4,0.25,0,0.333,0.25,0.221,0.472,0.399,1,4,89.3,28.7,2452,84.1,84.04,3,8,0,-0.09999999999999432,6.4,112,157,118,151,310,329,301
8,502202,"Boxberger, Brad",1090,0.7,,,,,,,,,,,,2449,87.5,86.69,3,8,0,-0.7999999999999972,5.54,117,151,121,147,292,317,294
8,657006,"Steele, Justin",2032,0.4,0.5,0,0.5,0.5,0.442,0.38,0.413,1,2,89.8,2.5,2590,81.5,81.49,0,8,0,0,6.21,110,151,127,151,298,316,284
8,663765,"Woodford, Jake",697,1.1,0,0,0,0,0,0.061,0.048,0,3,92.2,34,2475,81.2,80.97,2,8,0,-0.20000000000000284,6.38,111,154,119,149,302,323,298
8,621051,"Wilson, Steven",874,0.9,0.333,0.333,0.5,0.667,0.42,0.368,0.193,1,3,91.5,38,2738,81.9,82.31,3,8,0,0.3999999999999915,6.63,107,155,121,147,305,327,300
8,669373,"Skubal, Tarik",1914,0.4,0.5,0.25,0.5,0.75,0.536,0.506,0.475,2,4,90.3,27.5,2042,88.8,88.94,3,8,0,0.10000000000000853,6.17,114,155,113,150,305,323,291
8,595345,"Okert, Steven",968,0.8,0,0,0,0,0,0.021,0.023,0,4,83.1,-43,2475,81.6,81.56,6,8,0,0,6.29,108,151,115,151,301,323,302
8,607237,"Garrett, Amir",804,1,0.333,0,0.333,0.333,0.295,0.48,0.505,1,3,93.6,25,1847,84.2,84.04,1,8,0,-0.20000000000000284,6.26,105,157,117,148,301,323,305
8,607074,"Rodón, Carlos",2985,0.3,0.25,0,0.5,0.25,0.221,0.12,0.132,1,4,86.1,0,2453,85.3,85.4,3,8,0,0.10000000000000853,6.13,105,152,116,146,306,320,289
8,642545,"Barría, Jaime",1123,0.7,0,0,0,0,0,0.021,0.019,0,3,81.5,26,2189,84.5,84.1,1,8,0,-0.4000000000000057,5.99,116,154,120,153,301,326,293
8,623474,"Herget, Jimmy",996,0.8,0,0,0,0,0,0.292,0.3,0,4,94.7,0.3,2632,83.3,81.3,1,8,0,-2,4.91,111,156,107,149,294,322,286
7,645261,"Alcantara, Sandy",3248,0.2,0,0,0,0,0,0.006,0.005,0,2,79.8,76,2415,90.7,89.86,2,7,0,-0.7999999999999972,5.83,108,156,121,149,300,314,285
7,477132,"Kershaw, Clayton",1841,0.4,0.4,0.2,0.5,0.6,0.429,0.299,0.284,2,5,90.6,24,2517,85.9,85.71,1,7,0,-0.20000000000000284,6.23,109,154,118,146,297,309,289
7,623167,"Flexen, Chris",2203,0.3,0,0,0,0,0,0.079,0.061,0,5,87.5,39,2461,81.9,81.66,1,7,0,-0.20000000000000284,5.93,114,152,127,146,292,326,290
7,657044,"Thompson, Ryan",679,1,0.2,0.4,0.2,0.6,0.32,0.204,0.194,1,5,77.1,13,2194,79,78.87,0,7,0,-0.09999999999999432,6.61,109,155,116,149,306,324,294
7,640462,"Puk, A.J.",1072,0.7,0.333,0,0.5,0.333,0.295,0.306,0.315,1,3,71.7,38.5,2124,87.1,88.24,1,7,0,1.1000000000000085,6.93,112,152,127,151,292,320,295
7,664141,"Brubaker, JT",2381,0.3,0,0,0,0,0,0.143,0.155,0,4,90.5,-20.3,2649,87.1,86.37,0,7,0,-0.6999999999999886,5.64,107,151,119,149,306,330,301
7,669467,"Pallante, Andre",1753,0.4,0,0,0,0,0,0.405,0.337,0,2,108.3,16,2303,87,87.71,2,7,0,0.7000000000000028,6.59,115,146,114,143,304,320,301
7,605280,"Holmes, Clay",976,0.7,0,0,0,0,0,0.036,0.037,0,4,84.7,28.7,2536,85.1,84.51,1,7,0,-0.5999999999999943,5.91,115,154,116,149,299,324,291
7,680694,"Bradish, Kyle",1993,0.4,0.25,0,0.25,0.25,0.221,0.379,0.34,1,4,91.1,12,2461,86.9,87.16,1,7,0,0.29999999999999716,6.44,110,154,113,151,307,322,295
7,668933,"Ashcraft, Graham",1756,0.4,0.333,0.167,0.4,0.5,0.358,0.337,0.338,2,6,76.2,4.6,2547,87.6,86.73,1,7,0,-0.8999999999999915,5.74,112,148,119,145,290,320,288
7,677651,"Garcia, Luis",2468,0.3,0.25,0.75,0,1,0.518,0.233,0.174,1,4,87.3,29.7,2493,78.9,78.14,1,7,0,-0.8000000000000114,5.99,114,153,107,148,291,323,292
7,664854,"Helsley, Ryan",962,0.7,0,0,0,0,0,0.242,0.171,0,4,91.7,41.3,2397,89,89.56,1,7,0,0.5999999999999943,6.61,117,160,125,149,299,322,297
7,680686,"Gray, Josiah",2597,0.3,0,0,0,0,0,0.001,0.001,0,3,85.7,67,2033,86.6,85.27,3,7,0,-1.2999999999999972,5.44,110,153,122,148,302,322,297
7,666201,"Manoah, Alek",2949,0.2,0.667,0.333,0.667,1,0.715,0.396,0.406,2,3,82.4,20,2240,80.7,80.81,1,7,0,0.09999999999999432,6.46,114,151,117,149,290,312,297
7,596057,"Norris, Daniel",1010,0.7,0,0,0,0,0,0.008,0.009,0,1,75.6,86,2562,79.2,78,2,7,0,-1.2000000000000028,5.5,113,150,116,149,291,319,293
7,669169,"Heasley, Jonathan",1796,0.4,0,0,0,0,0,0.567,0.479,0,3,94.5,21.3,2287,85.1,85.14,0,7,0,0,6.16,104,153,118,147,308,325,305
7,676714,"Hughes, Brandon",952,0.7,0,0,0,0,0,0.024,0.02,0,3,89.4,30,2350,83.1,71.06,3,7,0,-12,6.27,102,150,113,150,301,321,291
6,628452,"Iglesias, Raisel",979,0.6,0.333,0.333,1,0.667,0.42,0.035,0.037,1,3,81,29,2559,85.1,84.57,2,6,0,-0.5,6.17,115,155,121,150,303,316,294
6,666159,"Manning, Matt",990,0.6,0,0,0,0,0,0.03,0.033,0,2,82.7,-22,2228,84.6,85.82,2,6,0,1.2000000000000028,6.88,112,161,122,143,301,328,291
6,669212,"Morgan, Eli",1017,0.6,0.5,0,0.5,0.5,0.442,0.254,0.282,1,2,61.2,-22,2274,86.4,86.48,0,6,0,0.09999999999999432,6.1,112,164,123,150,295,318,290
6,674072,"Henry, Tommy",773,0.8,0,0,0,0,0,0.017,0.018,0,2,71.1,49.5,2197,85.3,85.65,2,6,0,0.4000000000000057,6.4,112,148,108,146,292,313,292
6,621076,"Kaprielian, James",2230,0.3,0.4,1.2,0,1.6,0.829,0.403,0.229,2,5,91.5,12.3,2265,86.3,85.95,1,6,0,-0.29999999999999716,6.07,117,148,123,149,300,314,292
