"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
199,571578,"Corbin, Patrick",3073,6.5,0.061,0.031,0.353,0.092,0.065,0.037,0.038,6,98,79.9,-0.6,2392,81.7,81.45,150,199,0,-0.29999999999999716,6.15,109,152,115,147,301,322,298
137,477132,"Kershaw, Clayton",2447,5.6,0.136,0.023,0.75,0.159,0.128,0.069,0.075,6,44,85,2,2480,88.4,87.84,96,137,0,-0.6000000000000085,5.85,111,154,109,144,295,314,290
126,519242,"Sale, Chris",3423,3.7,0,0,0,0,0,0.009,0.01,0,63,78.8,4,2442,80.5,78.74,99,126,0,-1.7999999999999972,5.39,108,150,117,146,287,325,289
111,453192,"Miller, Andrew",984,11.3,0.025,0,0.125,0.025,0.022,0.042,0.045,1,40,66.7,-5.6,2644,84.2,84.69,76,111,0,0.5,6.53,105,149,112,148,286,311,287
106,543272,"Hand, Brad",1199,8.8,0,0,0,0,0,0.018,0.02,0,53,70.4,2.9,2658,82,78.88,79,106,0,-3.0999999999999943,4.56,101,146,113,145,295,314,296
99,592662,"Ray, Robbie",2708,3.7,0.029,0,0.125,0.029,0.025,0.06,0.058,1,35,82.9,29.4,2150,84.9,84.06,75,99,0,-0.8000000000000114,5.93,109,153,114,148,303,321,297
92,453385,"Richard, Clayton",3014,3.1,0.098,0.171,0.25,0.268,0.148,0.074,0.061,4,41,77.9,-3,2242,81.6,80.13,61,92,0,-1.5,5.38,103,148,112,148,292,310,294
79,518633,"Duffy, Danny",2272,3.5,0.097,0.032,0.333,0.129,0.093,0.118,0.097,3,31,83.3,25.4,2347,83.4,83.56,58,79,0,0.19999999999998863,6.36,115,153,113,146,301,321,296
79,572971,"Keuchel, Dallas",2189,3.6,0.067,0.022,0.25,0.089,0.066,0.063,0.069,3,45,79.6,4.8,2207,79.2,78.56,49,79,0,-0.6000000000000085,5.9,112,151,117,150,287,317,292
76,640455,"Manaea, Sean",2678,2.8,0.024,0,0.1,0.024,0.021,0.048,0.049,1,41,79.6,15.1,2039,80.3,80.15,57,76,0,-0.20000000000000284,6.38,108,148,113,148,293,321,296
