"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
334,571578,"Corbin, Patrick",3139,10.6,0.039,0.039,0.217,0.078,0.049,0.054,0.049,6,153,77.5,6,2405,82,81.4,247,334,0,-0.5999999999999943,5.91,107,150,114,149,299,326,299
117,607536,"Freeland, Kyle",3247,3.6,0.125,0.018,0.389,0.143,0.117,0.084,0.088,7,56,76.7,-5.4,2207,86.4,86.82,63,117,0,0.3999999999999915,6.38,112,151,118,145,298,322,305
113,592662,"Ray, Robbie",2284,4.9,0.059,0.039,0.25,0.098,0.066,0.056,0.054,3,51,79.6,10.3,2095,84.6,84.36,83,113,0,-0.19999999999998863,6.11,108,151,114,150,300,325,298
113,477132,"Kershaw, Clayton",2360,4.8,0.053,0,0.111,0.053,0.046,0.064,0.063,2,38,79.8,-5,2552,88.1,88.01,55,113,0,-0.09999999999999432,6.11,109,153,113,147,295,319,296
110,519242,"Sale, Chris",2524,4.4,0.039,0,0.25,0.039,0.034,0.029,0.03,2,51,79.3,-0.6,2553,80.2,78.83,77,110,0,-1.4000000000000057,5.65,109,150,117,149,285,316,286
105,656945,"Scott, Tanner",957,11,0.045,0.045,0.5,0.091,0.057,0.031,0.034,2,44,71.1,10,2657,88.9,87.51,86,105,0,-1.4000000000000057,5.4,108,151,115,146,290,315,295
105,502706,"Holland, Derek",2902,3.6,0.085,0.021,0.267,0.106,0.083,0.092,0.099,4,47,79.8,3.1,2188,80.8,79.47,64,105,0,-1.2999999999999972,5.62,110,151,116,146,298,319,293
100,453385,"Richard, Clayton",2382,4.2,0.07,0.023,0.333,0.093,0.07,0.058,0.055,3,43,85.9,19.9,2308,81.2,79.18,69,100,0,-2,5.07,114,150,116,148,298,317,300
93,519293,"Smith, Will",810,11.5,0.063,0.063,0.286,0.125,0.079,0.029,0.027,3,48,82.5,29,2395,81.5,80.42,66,93,0,-1.0999999999999943,5.58,113,148,113,146,295,319,293
92,434538,"Liriano, Francisco",2262,4.1,0.077,0,0.25,0.077,0.066,0.094,0.08,3,39,77.8,1.9,2274,85.3,84.97,58,92,0,-0.29999999999999716,5.92,111,156,117,145,295,319,291
89,571510,"Boyd, Matthew",2855,3.1,0.048,0.024,0.182,0.071,0.051,0.043,0.038,2,42,76,13.8,2385,80.9,80.01,58,89,0,-0.9000000000000057,5.66,109,150,113,145,295,316,288
84,605498,"Suárez, Andrew",2485,3.4,0.119,0.071,0.235,0.19,0.132,0.16,0.136,5,42,81.6,-4.6,2199,88.6,86.73,41,84,0,-1.8999999999999915,4.99,112,152,115,147,295,319,293
80,543272,"Hand, Brad",1173,6.8,0.081,0.027,0.429,0.108,0.081,0.073,0.074,3,37,74.8,14,2642,82.6,79.29,60,80,0,-3.299999999999997,4.45,115,148,113,147,290,315,298
80,572971,"Keuchel, Dallas",3310,2.4,0.079,0,0.3,0.079,0.069,0.058,0.061,3,38,82.7,2.8,2229,79.5,78.52,45,80,0,-1,5.71,109,151,116,150,283,312,288
75,605177,"Chafin, Andrew",878,8.5,0.059,0,0.4,0.059,0.052,0.024,0.024,2,34,87.6,-5.8,2306,83,82.67,61,75,0,-0.29999999999999716,6.19,111,149,114,151,296,327,302
73,607074,"Rodón, Carlos",1966,3.7,0,0,0,0,0,0.025,0.023,0,34,80,5.3,2521,86.1,84.67,50,73,0,-1.3999999999999915,5.28,109,149,112,145,297,319,296
72,501985,"Minor, Mike",2549,2.8,0.12,0.04,0.188,0.16,0.12,0.102,0.105,3,25,72,11,2618,87.6,86.83,26,72,0,-0.7999999999999972,5.63,109,153,111,145,292,313,296
67,607237,"Garrett, Amir",1001,6.7,0.032,0,0.143,0.032,0.028,0.05,0.055,1,31,63.9,15.7,1779,84.1,83.99,50,67,0,-0.09999999999999432,6.47,113,148,110,144,292,305,290
63,543169,"Flynn, Brian",1249,5,0.111,0.056,0.333,0.167,0.118,0.155,0.149,2,18,77.3,11.7,2384,85.8,85.53,42,63,0,-0.29999999999999716,6.05,112,152,113,142,296,320,295
59,643316,"Fry, Paul",636,9.3,0.24,0.04,0.667,0.28,0.226,0.145,0.149,6,25,82.4,4.1,2641,83.9,82.71,34,59,0,-1.2000000000000028,5.77,112,155,119,147,291,316,296
57,605483,"Snell, Blake",2913,2,0.033,0.033,0.143,0.067,0.042,0.06,0.062,1,30,71.2,-3.4,2382,88.1,88.23,43,57,0,0.10000000000000853,6.31,112,152,112,148,287,317,292
56,282332,"Sabathia, CC",2506,2.2,0.143,0.048,0.3,0.19,0.143,0.111,0.104,3,21,79.6,7.5,2254,80.5,80.53,34,56,0,0,6.42,109,155,112,149,293,323,289
53,474463,"Anderson, Brett",1197,4.4,0.118,0.059,0.4,0.176,0.125,0.065,0.057,2,17,87.4,-15.6,2376,82.2,81.22,28,53,0,-1,5.54,107,146,121,145,298,318,292
52,448802,"García, Jaime",1380,3.8,0,0,0,0,0,0.009,0.009,0,36,64.3,-18.3,2756,81.6,80.08,36,52,0,-1.5,5.39,112,154,118,147,296,318,292
50,453192,"Miller, Andrew",556,9,0.2,0,0.5,0.2,0.176,0.143,0.142,3,15,75.6,17.4,2581,83.1,83.3,28,50,0,0.20000000000000284,6.39,104,149,111,148,283,312,291
