"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
964,622491,"Castillo, Luis",3164,30.5,0.208,0.102,0.285,0.309,0.259,0.244,0.199,55,265,85.7,0.3,1971,88.3,87.18,179,548,416,-1.0999999999999943,5.57,116,153,119,149,290,319,293
944,608337,"Giolito, Lucas",2970,31.8,0.218,0.165,0.293,0.383,0.281,0.245,0.202,57,261,82.2,18.8,1492,81.5,82.29,191,539,405,0.7999999999999972,6.7,112,152,114,150,300,319,296
837,605200,"Davies, Zach",2577,32.5,0.258,0.215,0.31,0.472,0.332,0.302,0.247,60,233,84.5,8.4,1691,78.5,78.3,183,501,336,-0.20000000000000284,6.18,108,155,116,149,296,323,297
779,572971,"Keuchel, Dallas",2726,28.6,0.244,0.134,0.269,0.378,0.289,0.344,0.289,51,209,83.7,1.2,1630,79.6,79.48,114,382,397,-0.09999999999999432,6.11,109,151,116,147,299,319,294
778,543294,"Hendricks, Kyle",2809,27.7,0.268,0.176,0.289,0.444,0.315,0.303,0.259,64,239,82.4,12.3,2008,80,78.37,113,468,310,-1.5999999999999943,5.76,111,156,117,150,295,323,298
728,645261,"Alcantara, Sandy",3095,23.5,0.229,0.117,0.317,0.346,0.278,0.289,0.235,49,214,86.4,-0.7,2005,91.8,91.23,131,425,303,-0.5999999999999943,6.01,112,151,117,149,299,316,288
725,640455,"Manaea, Sean",2980,24.3,0.238,0.089,0.298,0.327,0.262,0.268,0.228,48,202,87.9,9,1377,84.5,85.88,129,414,311,1.4000000000000057,7.15,108,150,121,148,303,326,297
707,489119,"Miley, Wade",2592,27.3,0.254,0.086,0.304,0.341,0.288,0.29,0.245,47,185,83,-0.7,1807,81.9,81.71,114,337,370,-0.20000000000000284,6.12,109,151,116,145,299,321,283
697,642232,"Yarbrough, Ryan",2488,28,0.238,0.16,0.259,0.398,0.277,0.305,0.28,49,206,81.9,12.5,2027,78.4,78.7,92,363,334,0.29999999999999716,6.68,105,152,117,148,301,321,288
685,622503,"Crismatt, Nabil",1337,51.2,0.258,0.117,0.314,0.376,0.302,0.287,0.238,55,213,87.5,9.2,1598,82.3,83.37,115,406,279,1.1000000000000085,7.07,113,153,130,144,301,323,311
684,547943,"Ryu, Hyun Jin",2689,25.4,0.256,0.158,0.279,0.414,0.308,0.318,0.274,52,203,85.1,8,1511,79.9,80.23,101,399,285,0.29999999999999716,6.54,105,153,118,148,301,317,288
684,666120,"Anderson, Ian",2175,31.4,0.197,0.173,0.228,0.37,0.291,0.315,0.216,34,173,83.3,1.6,1646,88.1,88.87,128,367,317,0.8000000000000114,6.88,109,151,131,145,301,322,296
679,663460,"Bubic, Kris",2202,30.8,0.251,0.251,0.271,0.503,0.349,0.357,0.262,50,199,87.9,10.8,1604,80,80.11,105,375,304,0.09999999999999432,6.59,105,156,118,144,303,322,301
641,542881,"Anderson, Tyler",2602,24.6,0.25,0.237,0.236,0.487,0.316,0.298,0.251,40,160,84.4,15.6,1835,80.9,80.49,102,355,286,-0.4000000000000057,5.99,106,152,116,146,301,321,283
635,607644,"Means, John",2328,27.3,0.227,0.213,0.236,0.44,0.294,0.279,0.225,47,207,84.4,17.1,2256,83.4,82.84,116,387,248,-0.6000000000000085,6.1,107,153,119,148,302,324,290
