"","year","pitch","pitch_count","sum_whiffs","sum_swings","sum_takes","sum_abs","sum_hits","mean_velocity","mean_iso","mean_babip","mean_slg","mean_woba","ba","swing_percentage","whiff_percentage","contact_rate","take_percentage"
"1","2008","Change",67620,9791,34194,33424,17534,4521,82.269247264123,0.157821310263236,0.293253623188406,0.418288982549542,0.314006506950606,0.257841907151819,0.505678793256433,0.286336784231152,0.713663215768848,0.494291629695356
"2","2008","Curveball",54907,5863,21487,33420,12747,2773,76.2732893802247,0.11673874005136,0.290388365782141,0.335374323856703,0.259792831515107,0.217541382286028,0.391334438231919,0.272862661143948,0.727137338856052,0.608665561768081
"3","2008","Cutter",34269,3290,16597,17670,8283,2131,87.4362835215501,0.148821675566839,0.288878695030494,0.407371501940529,0.317209285359946,0.257273934564771,0.484315270360968,0.198228595529313,0.801771404470688,0.515626367854329
"4","2008","Fastball",239842,17558,109023,130819,52163,14473,91.9358631932689,0.173983906071497,0.302542836534052,0.450719035865278,0.357797345752621,0.27745720146464,0.45456175315416,0.161048586078167,0.838951413921833,0.54543824684584
"5","2008","Sinker",167714,9089,74686,93028,39843,11678,90.7141502796427,0.153161191075283,0.30749351276578,0.446291639338397,0.357545094625374,0.293100419145145,0.445317624050467,0.121696167956511,0.878303832043489,0.554682375949533
"6","2008","Slider",98813,14450,47548,51265,24992,5591,83.3986651553945,0.130953943307055,0.290559308997804,0.354980124072743,0.273379960126704,0.223711587708067,0.481191746025321,0.303903423908471,0.696096576091529,0.518808253974679
"7","2009","Change",68620,9674,34321,34298,17660,4446,82.8116452929175,0.15561375692218,0.283672748469834,0.410751807053337,0.309211643835616,0.251755379388448,0.500160303118624,0.281868243932286,0.718131756067714,0.499825123870592
"8","2009","Curveball",57641,6241,22545,35096,13456,2869,76.519713398449,0.112534133689561,0.290859527072743,0.328228257663816,0.255541229333287,0.213213436385256,0.3911278430284,0.27682412951874,0.72317587048126,0.6088721569716
"9","2009","Cutter",35079,3555,17269,17809,8538,2137,87.6971835000998,0.14023045126714,0.280571766583996,0.390810000285071,0.30737994241569,0.250292808620286,0.492288833775193,0.205860211940471,0.794139788059529,0.507682659140796
"10","2009","Fastball",250581,18243,112422,138159,53789,14842,92.1372857479218,0.180546350281945,0.301469848073078,0.455709475179682,0.359829552120871,0.275930022867129,0.448645348210758,0.162272508939531,0.837727491060469,0.551354651789242
"11","2009","Sinker",165985,8696,72621,93364,38770,11683,91.1539500557279,0.161442696629213,0.313471500436786,0.462932036027352,0.366660517516643,0.301341243229301,0.437515438142001,0.11974497734815,0.88025502265185,0.562484561857999
"12","2009","Slider",103612,15282,49089,54523,25989,5685,83.5029957919932,0.131901768134965,0.285770895263097,0.351275556885303,0.269527641585917,0.218746392704606,0.473777168667722,0.311312106581923,0.688687893418077,0.526222831332278
"13","2010","Change",73790,10799,37319,36471,19321,4665,82.7718796584903,0.139550237159507,0.277224258029543,0.382429041875593,0.294604350182952,0.241447130065732,0.505746036048245,0.289370025992122,0.710629974007878,0.494253963951755
"14","2010","Curveball",55337,6033,21797,33540,12783,2790,76.4965158935251,0.121784863653613,0.294073838480583,0.344470498942841,0.263887037605942,0.218258624735977,0.393895585232304,0.276781208423177,0.723218791576822,0.606104414767696
