"","year","pitch","pitch_count","sum_whiffs","sum_swings","sum_takes","sum_abs","sum_hits","mean_spin_rate","mean_velocity","mean_release_extension","mean_effective_speed","mean_eff_min_vel","mean_iso","mean_babip","mean_slg","mean_woba","mean_xwoba","mean_xba","mean_launch_speed","mean_launch_angle","ba","swing_percentage","whiff_percentage","contact_rate","take_percentage"
"25","2012","Change",69566,10568,35819,33744,NA,NA,NA,83.4075151654544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51489233246126,0.295038945810882,0.704961054189117,0.485064543023891
"26","2012","Curveball",59559,6973,23817,35742,NA,NA,NA,77.1003643445995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.399889185513524,0.292774068942352,0.707225931057648,0.600110814486476
"27","2012","Cutter",39506,4109,19452,20054,NA,NA,NA,88.3501974383638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.492380904166456,0.211237918980053,0.788762081019946,0.507619095833544
"28","2012","Fastball",235995,18559,106947,129048,NA,NA,NA,92.4851873980381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453174855399479,0.173534554498957,0.826465445501043,0.546825144600521
"29","2012","Sinker",162802,9480,72084,90718,NA,NA,NA,91.550620999742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.442770973329566,0.13151323455968,0.86848676544032,0.557229026670434
"30","2012","Slider",102524,16371,50080,52444,NA,NA,NA,83.7837550232141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488470992157934,0.32689696485623,0.67310303514377,0.511529007842066
"31","2013","Change",71257,11213,36874,34383,NA,NA,NA,83.4452881822137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.517478984520819,0.304089602429896,0.695910397570104,0.482521015479181
"32","2013","Curveball",55408,6320,21589,33819,NA,NA,NA,77.302053855039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.389636875541438,0.292741674000648,0.707258325999352,0.610363124458562
"33","2013","Cutter",39568,4328,19866,19702,NA,NA,NA,88.7504144763445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502072381722604,0.217859659720125,0.782140340279875,0.497927618277396
"34","2013","Fastball",244372,19529,111725,132647,NA,NA,NA,92.6833761642087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.457192313358323,0.174795256209443,0.825204743790557,0.542807686641677
"35","2013","Sinker",157006,9311,70621,86385,NA,NA,NA,91.6963275288842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.449798096888017,0.131844635448379,0.868155364551621,0.550201903111983
"36","2013","Slider",105643,16761,51079,54564,NA,NA,NA,84.0390276686577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483505769431008,0.328138765441767,0.671861234558233,0.516494230568992
"37","2014","Change",71648,11615,37315,34333,NA,NA,NA,83.8573986712818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520810071460473,0.311268926705078,0.688731073294922,0.479189928539527
"38","2014","Curveball",55328,6765,22370,32958,NA,NA,NA,77.6399996385194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.404316078658184,0.302413947250782,0.697586052749218,0.595683921341816
"39","2014","Cutter",42547,4471,21023,21524,NA,NA,NA,88.5887136578372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494112393353233,0.212671835608619,0.787328164391381,0.505887606646767
"40","2014","Fastball",239004,19399,109921,129083,NA,NA,NA,92.7944632725812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459912804806614,0.176481291109069,0.823518708890931,0.540087195193386
"41","2014","Sinker",156881,9544,71101,85780,NA,NA,NA,91.8326521376075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453216131972642,0.134231586053642,0.865768413946358,0.546783868027358
