"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
462,594798,"deGrom, Jacob",3191,14.5,0.097,0.029,0.231,0.126,0.142,0.149,0.103,10,103,73.3,-2.7,2474,92.5,93.69,127,212,250,1.2000000000000028,6.72,113,150,112,146,296,314,291
460,434378,"Verlander, Justin",3242,14.2,0.027,0,0.094,0.027,0.068,0.096,0.055,3,112,73.9,-9,2621,87.6,86.96,147,232,228,-0.5999999999999943,5.87,112,155,121,150,291,316,295
459,669456,"Bieber, Shane",3224,14.2,0.122,0.037,0.4,0.159,0.164,0.143,0.1,10,82,83.4,2.5,2380,85.3,85.56,137,183,276,0.29999999999999716,6.18,110,152,118,149,292,313,288
408,573186,"Stroman, Marcus",3046,13.4,0.116,0,0.27,0.116,0.145,0.175,0.142,10,86,78.5,4.8,2883,86.3,84.96,106,176,232,-1.2999999999999972,5.4,109,152,118,147,302,318,293
401,596001,"Junis, Jakob",2924,13.7,0.048,0,0.235,0.048,0.137,0.127,0.031,4,83,73.7,7.5,2543,82.8,81.37,118,165,236,-1.3999999999999915,5.42,110,150,123,142,302,325,303
397,502043,"Gibson, Kyle",2764,14.4,0.075,0,0.375,0.075,0.149,0.148,0.066,6,80,81.2,6.5,2469,84.3,84.4,132,174,223,0.10000000000000853,6.31,108,153,116,146,298,325,291
397,656427,"Flaherty, Jack",3179,12.5,0.103,0,0.259,0.103,0.18,0.195,0.115,7,68,76.4,7.7,2365,85.3,85.49,100,155,242,0.20000000000000284,6.33,110,151,113,148,298,321,297
377,547888,"Tanaka, Masahiro",2750,13.7,0.052,0.013,0.143,0.065,0.117,0.151,0.09,4,77,74.3,4.2,2411,83.8,82.33,103,164,213,-1.5,5.47,107,153,119,148,296,327,290
369,663423,"Thornton, Trent",2759,13.4,0.055,0,0.133,0.055,0.103,0.143,0.09,4,73,77.7,8.6,3098,80.8,79.35,72,134,235,-1.3999999999999915,5.35,108,153,122,148,306,326,299
362,641712,"Hudson, Dakota",2846,12.7,0.083,0.083,0.2,0.167,0.243,0.254,0.093,4,48,82.8,-0.8,2448,87.6,87.12,93,132,230,-0.5,6,112,151,113,148,299,322,300
