"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
102,468504,"Chacín, Jhoulys",3007,3.4,0.118,0.029,0.118,0.147,0.111,0.17,0.156,4,34,88.8,36.4,2332,79.4,77.93,2,70,32,-1.5,5.21,110,155,114,150,303,319,295
87,622663,"Severino, Luis",3149,2.8,0.279,0.116,0.324,0.395,0.289,0.319,0.284,12,43,91.5,9,2868,88.1,87.26,9,61,26,-0.7999999999999972,5.77,111,156,112,149,294,323,293
86,477132,"Kershaw, Clayton",2360,3.6,0.293,0.122,0.314,0.415,0.303,0.329,0.305,12,41,93.5,4.1,2527,87.8,87.82,7,74,12,0,6.07,109,154,112,148,297,320,294
82,502042,"Archer, Chris",2504,3.3,0.448,0.586,0.381,1.034,0.618,0.469,0.378,13,29,94.9,19.5,2534,87.6,86.45,9,62,20,-1.1999999999999886,5.4,109,151,115,146,301,323,292
80,592351,"Gray, Jon",2798,2.9,0.189,0.027,0.219,0.216,0.176,0.249,0.236,7,37,93,11.5,2192,87.8,88.32,11,63,17,0.5,6.31,112,150,114,145,302,324,305
76,571510,"Boyd, Matthew",2855,2.7,0.222,0.259,0.167,0.481,0.294,0.37,0.326,6,27,88.9,26.6,2316,80.5,79.59,8,56,20,-0.9000000000000057,5.67,103,150,113,146,297,321,290
75,596001,"Junis, Jakob",2838,2.6,0.364,0.303,0.391,0.667,0.436,0.351,0.293,12,33,92.1,16.6,2428,82.2,80.85,4,50,25,-1.2999999999999972,5.4,110,152,113,143,299,322,297
70,475115,"Ross, Tyson",2497,2.8,0.448,0.414,0.407,0.862,0.53,0.523,0.418,13,29,96.8,14.4,2657,84.8,83.23,3,54,16,-1.5999999999999943,5.15,115,149,113,147,299,319,301
68,592314,"Foltynewicz, Mike",3039,2.2,0.138,0,0.182,0.138,0.121,0.237,0.212,4,29,88.1,25.3,2480,86.5,86.05,7,46,22,-0.4000000000000057,5.84,104,150,108,148,296,318,296
67,471911,"Carrasco, Carlos",2871,2.3,0.467,0.267,0.462,0.733,0.512,0.355,0.293,7,15,94.6,9.2,2607,83.5,83.37,5,39,28,-0.09999999999999432,5.96,107,152,113,149,286,312,294
64,434628,"Hammel, Jason",2070,3.1,0.464,0.464,0.429,0.929,0.586,0.455,0.363,13,28,93.8,16.4,2509,84.8,84.72,4,48,16,-0.09999999999999432,6.02,110,151,111,142,296,320,298
61,453562,"Arrieta, Jake",2759,2.2,0.304,0.13,0.304,0.435,0.302,0.385,0.347,7,23,93.8,14.6,2447,89,88.44,4,50,11,-0.5999999999999943,5.76,109,154,111,148,294,324,297
61,453286,"Scherzer, Max",3480,1.8,0.235,0.235,0.2,0.471,0.296,0.274,0.256,4,17,87,24.3,2390,85,84.31,6,34,27,-0.7000000000000028,5.79,111,151,114,148,299,309,292
59,519242,"Sale, Chris",2524,2.3,0.176,0.176,0.182,0.353,0.223,0.27,0.227,3,17,90.1,19.2,2480,79.9,78.57,9,34,25,-1.3000000000000114,5.55,108,148,113,148,285,317,288
59,434538,"Liriano, Francisco",2262,2.6,0.32,0.6,0.25,0.92,0.505,0.56,0.407,8,25,93.8,16.5,2261,84.1,83.82,8,42,17,-0.29999999999999716,5.89,109,154,113,144,293,318,289
58,605182,"Clevinger, Mike",3263,1.8,0.292,0.167,0.3,0.458,0.307,0.229,0.21,7,24,86.3,21.9,2380,79.3,79.09,6,43,15,-0.20000000000000284,6.1,107,151,112,147,285,313,291
57,656427,"Flaherty, Jack",2586,2.2,0.25,0.35,0.231,0.6,0.353,0.309,0.243,5,20,89.5,23.9,2226,83,83.57,12,40,17,0.5999999999999943,6.51,111,149,108,149,301,317,299
57,571945,"Mikolas, Miles",3004,1.9,0.321,0.179,0.333,0.5,0.347,0.3,0.297,9,28,93.8,6.2,2357,88.2,88.09,6,47,10,-0.10000000000000853,6.05,116,148,108,148,296,316,300
57,592791,"Taillon, Jameson",2947,1.9,0.303,0.424,0.241,0.727,0.426,0.458,0.375,10,33,94.6,15.6,2388,89.8,89.87,2,47,10,0.10000000000000853,6.07,109,151,113,148,304,321,301
56,547888,"Tanaka, Masahiro",2396,2.3,0.1,0.15,0.056,0.25,0.146,0.185,0.133,2,20,86,40.5,2409,83.2,81.61,6,43,13,-1.6000000000000085,5.41,106,154,112,148,298,323,292
55,571578,"Corbin, Patrick",3139,1.8,0.308,0.308,0.316,0.615,0.387,0.441,0.343,8,26,91.6,19.8,2363,80.9,80.35,10,43,12,-0.6000000000000085,5.81,111,152,111,149,300,327,299
54,434378,"Verlander, Justin",3423,1.6,0.227,0.455,0.105,0.682,0.374,0.28,0.244,5,22,87.5,25.5,2684,86.2,85.26,4,41,13,-0.9000000000000057,5.66,111,155,118,153,291,317,290
54,543272,"Hand, Brad",1173,4.6,0.133,0.267,0.125,0.4,0.219,0.266,0.195,2,15,93.1,11.6,2568,82.2,78.85,3,25,29,-3.4000000000000057,4.34,110,148,112,149,294,316,299
54,605164,"Bundy, Dylan",2838,1.9,0.273,0.273,0.286,0.545,0.345,0.214,0.198,6,22,90.1,18.4,2410,81.2,80.03,5,32,22,-1.2000000000000028,5.39,109,153,116,146,293,317,297
