"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
85,468504,"Chacín, Jhoulys",3007,2.8,0.259,0.222,0.313,0.481,0.302,0.262,0.23,7,27,88.9,17.3,2349,78.9,77.28,7,44,41,-1.6000000000000085,5.18,110,154,116,152,301,320,296
73,477132,"Kershaw, Clayton",2360,3.1,0.29,0.258,0.233,0.548,0.342,0.295,0.281,9,31,87.5,8.3,2537,88.2,88.11,4,65,8,-0.10000000000000853,6.09,110,152,112,147,296,321,295
64,596001,"Junis, Jakob",2838,2.3,0.174,0.304,0.154,0.478,0.258,0.377,0.218,4,23,92.1,12.1,2440,82.1,80.77,1,31,33,-1.2999999999999972,5.38,114,152,112,144,295,319,297
63,622663,"Severino, Luis",3149,2,0.176,0,0.25,0.176,0.155,0.24,0.226,3,17,86,9.5,2885,87.7,86.87,5,29,34,-0.7999999999999972,5.79,107,157,114,148,294,324,294
62,573185,"Straily, Dan",2136,2.9,0.158,0.316,0.091,0.474,0.26,0.421,0.289,3,19,94.1,21.2,2571,83.4,82.77,6,31,31,-0.6000000000000085,5.75,105,147,103,148,294,321,299
60,501985,"Minor, Mike",2549,2.4,0.208,0.25,0.143,0.458,0.279,0.27,0.235,5,24,86.3,21.7,2586,87.5,86.8,4,53,7,-0.7000000000000028,5.64,110,149,109,145,292,313,297
60,571510,"Boyd, Matthew",2855,2.1,0.238,0.048,0.313,0.286,0.227,0.192,0.177,5,21,87.4,28.9,2316,80.9,80,11,48,12,-0.9000000000000057,5.67,104,150,112,146,296,319,290
59,607536,"Freeland, Kyle",3247,1.8,0.263,0.105,0.294,0.368,0.27,0.219,0.212,5,19,82.5,20.1,2212,86.2,86.68,8,45,14,0.5,6.32,113,150,109,146,294,318,302
59,471911,"Carrasco, Carlos",2871,2.1,0.409,0.227,0.471,0.636,0.446,0.406,0.373,9,22,96.5,2.2,2616,83.3,83.05,1,31,28,-0.20000000000000284,5.94,108,151,111,148,286,313,292
54,571578,"Corbin, Patrick",3139,1.7,0.278,0,0.385,0.278,0.244,0.239,0.25,5,18,88.2,6.2,2372,81.3,80.65,7,42,12,-0.7000000000000028,5.84,109,150,112,148,297,325,299
54,592351,"Gray, Jon",2798,1.9,0.5,0.688,0.625,1.188,0.702,0.486,0.365,8,16,95,17.9,2177,87.8,88.3,3,22,32,0.5,6.29,116,151,112,146,299,321,302
53,592662,"Ray, Robbie",2284,2.3,0.364,0.409,0.429,0.773,0.475,0.362,0.277,8,22,87.8,13.4,2092,84.2,83.79,9,40,13,-0.4000000000000057,6.01,108,149,111,148,301,327,299
50,502042,"Archer, Chris",2504,2,0.214,0.143,0.273,0.357,0.241,0.289,0.286,3,14,93,10.8,2587,87.5,86.38,6,36,14,-1.0999999999999943,5.41,111,152,119,149,295,323,297
48,475115,"Ross, Tyson",2497,1.9,0.333,0.111,0.4,0.444,0.334,0.43,0.379,6,18,93.2,15.3,2639,84.1,82.52,0,23,25,-1.5999999999999943,5.1,114,148,111,147,297,317,300
46,605498,"Suárez, Andrew",2485,1.9,0.227,0.273,0.158,0.5,0.291,0.447,0.352,5,22,88.4,15.2,2145,88.3,86.53,5,43,3,-1.7999999999999972,5.02,106,148,112,145,295,318,293
44,656427,"Flaherty, Jack",2586,1.7,0.167,0.25,0.1,0.417,0.243,0.313,0.235,2,12,85.1,31,2215,83,83.45,5,29,15,0.4000000000000057,6.48,114,150,111,149,300,318,299
44,434538,"Liriano, Francisco",2262,1.9,0.158,0.158,0.125,0.316,0.199,0.336,0.246,3,19,84.3,15.8,2252,84.8,84.46,4,34,10,-0.29999999999999716,5.87,105,152,110,146,292,318,287
43,519242,"Sale, Chris",2524,1.7,0.182,0.091,0.286,0.273,0.193,0.205,0.156,2,11,79.6,29.4,2515,79.9,78.44,9,26,17,-1.5,5.56,111,151,114,149,284,315,285
42,453286,"Scherzer, Max",3480,1.2,0.556,0.556,0.571,1.111,0.698,0.441,0.388,5,9,83.9,17.6,2336,84.9,84.3,2,20,22,-0.6000000000000085,5.81,109,149,112,147,299,308,291
40,573064,"Nuño, Vidal",500,8,0.067,0,0.071,0.067,0.059,0.161,0.15,1,15,83.7,29.9,2518,84.7,83.53,4,30,10,-1.2000000000000028,5.46,112,153,113,146,298,321,292
40,489265,"Romo, Sergio",1129,3.5,0.545,0.545,0.5,1.091,0.689,0.508,0.434,6,11,98,20.1,2773,77.1,76.38,1,23,17,-0.6999999999999886,5.91,111,152,112,150,287,319,296
40,502706,"Holland, Derek",2902,1.4,0.364,0.364,0.5,0.727,0.45,0.269,0.235,4,11,91.9,16.1,2193,80.8,79.67,7,37,3,-1.0999999999999943,5.63,109,148,111,145,296,318,292
38,493603,"Ottavino, Adam",1271,3,0.231,0.538,0.167,0.769,0.408,0.32,0.228,3,13,92.9,8.6,2790,80.9,80.85,0,13,25,-0.10000000000000853,6.28,113,151,108,145,299,323,299
38,518633,"Duffy, Danny",2776,1.4,0.286,0,0.333,0.286,0.251,0.295,0.267,4,14,80.8,18.2,2326,83.4,83.26,1,26,12,-0.10000000000000853,6.15,104,153,111,141,291,321,292
37,607219,"Romano, Sal",2395,1.5,0.5,0.25,0.571,0.75,0.532,0.371,0.343,8,16,88.1,18,2352,86.1,85.25,2,31,6,-0.8999999999999915,5.59,112,147,111,143,297,307,289
36,453562,"Arrieta, Jake",2759,1.3,0.556,0,0.556,0.556,0.44,0.292,0.349,5,9,96.7,7.2,2447,89,88.34,3,25,11,-0.7000000000000028,5.73,112,154,107,148,294,323,295
35,605182,"Clevinger, Mike",3263,1.1,0.273,0.091,0.5,0.364,0.273,0.118,0.109,3,11,85.3,31.7,2368,78.9,78.77,4,20,15,-0.10000000000000853,6.08,104,150,115,147,287,312,288
34,434628,"Hammel, Jason",2070,1.6,0.273,0.273,0.2,0.545,0.345,0.494,0.404,3,11,88.9,14.7,2531,85.2,85.06,0,14,20,-0.10000000000000853,5.96,113,149,105,142,294,318,298
33,519455,"Zimmermann, Jordan",2074,1.6,0.222,0.111,0.286,0.333,0.236,0.249,0.224,4,18,90.9,2,2348,86.8,86.57,5,25,8,-0.20000000000000284,5.94,111,153,120,145,295,323,294
32,592314,"Foltynewicz, Mike",3039,1.1,0,0,0,0,0,0.169,0.143,0,10,91.5,18.4,2493,86.2,85.76,1,16,16,-0.4000000000000057,5.78,106,151,108,149,298,318,296
32,543272,"Hand, Brad",1173,2.7,0.143,0.071,0.222,0.214,0.152,0.185,0.196,2,14,71.5,6.7,2593,82,78.7,6,23,9,-3.299999999999997,4.28,117,149,114,147,288,312,299
31,612672,"Chen, Wei-Yin",2204,1.4,0.333,0.056,0.375,0.389,0.314,0.222,0.234,6,18,85.2,17.8,2197,84.8,84.57,3,26,5,-0.20000000000000284,5.95,103,145,114,147,299,322,296
31,605242,"Fulmer, Michael",2148,1.4,0,0,0,0,0,0.108,0.109,0,6,81.9,40.3,2523,85.9,85.54,2,14,17,-0.4000000000000057,5.87,110,153,112,147,289,314,292
31,606625,"Moronta, Reyes",1098,2.8,0,0,0,0,0,0.252,0.268,0,3,85.3,26.7,2532,81.7,80.94,2,8,23,-0.7999999999999972,5.7,112,145,111,147,294,314,293
31,642545,"Barría, Jaime",2171,1.4,0.1,0,0.143,0.1,0.088,0.267,0.235,1,10,93.3,29.1,2275,81,79.84,7,20,11,-1.2000000000000028,5.32,113,153,110,149,293,322,302
31,547888,"Tanaka, Masahiro",2396,1.3,0.143,0,0.143,0.143,0.126,0.132,0.142,1,7,83.6,6.3,2434,82.9,81.45,4,18,13,-1.5,5.4,110,157,110,149,292,322,295
30,607074,"Rodón, Carlos",1966,1.5,0.333,0.111,0.375,0.444,0.334,0.258,0.243,3,9,88.4,13.3,2515,85.6,84.2,3,23,7,-1.3999999999999915,5.27,111,150,107,147,292,319,302
30,543101,"DeSclafani, Anthony",1790,1.7,0.1,0.1,0.2,0.2,0.113,0.196,0.145,1,10,88.4,22.8,2229,86.3,86.46,5,15,15,0.20000000000000284,6.12,119,148,109,147,292,309,295
29,592791,"Taillon, Jameson",2947,1,0.222,0.111,0.286,0.333,0.236,0.289,0.292,2,9,97.5,7.4,2404,89.1,89.3,2,17,12,0.20000000000000284,6.04,111,150,114,149,302,319,301
29,621385,"Stumpf, Daniel",700,4.1,0.4,0.2,0.444,0.6,0.425,0.363,0.362,4,10,91.2,9.9,2236,84.8,83.67,6,23,6,-1.0999999999999943,5.48,109,151,113,147,296,319,295
29,518774,"Harvey, Matt",2531,1.1,0.222,0,0.25,0.222,0.195,0.422,0.38,2,9,98.5,9.4,2396,88.4,87.86,4,21,8,-0.5,5.73,116,151,111,148,297,309,292
29,621107,"Eflin, Zach",2040,1.4,0.455,0.273,0.444,0.727,0.504,0.387,0.361,5,11,89.6,14.4,2273,85.9,85.79,2,15,14,-0.10000000000000853,6.06,109,157,112,148,296,321,295
29,605388,"Morgan, Adam",831,3.5,0.167,0,0.167,0.167,0.147,0.31,0.325,1,6,93.1,14.2,2903,80.5,78.83,3,17,12,-1.7000000000000028,5.25,105,156,115,148,291,325,298
28,656945,"Scott, Tanner",957,2.9,0.375,0.375,0.333,0.75,0.474,0.513,0.372,3,8,93.3,2.4,2686,89.1,87.67,3,23,5,-1.3999999999999915,5.34,114,154,116,146,291,317,298
28,605483,"Snell, Blake",2913,1,0.067,0.2,0,0.267,0.135,0.333,0.268,1,15,87.1,16.2,2361,87.7,87.91,4,22,6,0.20000000000000284,6.27,110,147,112,148,293,323,298
28,519144,"Porcello, Rick",3095,0.9,0.2,0.5,0.143,0.7,0.361,0.397,0.288,2,10,95.7,23.3,2562,86,85.33,1,19,9,-0.7000000000000028,5.72,115,155,119,149,279,315,293
28,572971,"Keuchel, Dallas",3310,0.8,0.667,0.889,0.8,1.556,0.924,0.541,0.392,6,9,91.5,11.6,2167,77.9,76.88,1,16,12,-1,5.67,113,152,116,152,281,317,294
27,596295,"Gomber, Austin",1226,2.2,0.385,0.231,0.455,0.615,0.423,0.3,0.298,5,13,88.5,2.7,2273,88.9,89.45,5,21,6,0.5999999999999943,6.39,109,145,107,143,298,317,299
27,573186,"Stroman, Marcus",1707,1.6,0.25,0,0.25,0.25,0.22,0.369,0.398,1,4,100.3,-1.3,2680,84.9,83.23,1,9,18,-1.7000000000000028,5.2,112,151,112,146,288,313,295
26,570632,"Ureña, José",2770,0.9,0.286,0.286,0.286,0.571,0.356,0.246,0.264,2,7,81.6,15.7,2224,86.4,85.94,3,15,11,-0.5,5.91,105,154,103,151,301,323,297
26,593372,"Martinez, Carlos",1973,1.3,0.3,0,0.6,0.3,0.24,0.184,0.144,3,10,91.8,7.6,2129,83.4,81.37,3,10,16,-2,4.88,105,141,103,144,296,315,294
25,612434,"Castro, Miguel",1459,1.7,0.286,0.286,0.5,0.571,0.398,0.339,0.297,2,7,88,-9.8,2846,84.4,83.48,1,9,16,-0.9000000000000057,5.72,106,149,114,146,299,320,293
25,282332,"Sabathia, CC",2506,1,0.222,0.333,0.167,0.556,0.323,0.353,0.255,2,9,77.6,5.4,2265,79.7,79.93,3,17,8,0.20000000000000284,6.37,109,158,106,147,293,322,289
25,592826,"Velasquez, Vince",2471,1,0.3,0,0.333,0.3,0.264,0.334,0.352,3,10,82.1,13.6,2203,84.2,84.08,1,17,8,-0.10000000000000853,6.06,111,154,113,148,298,324,289
25,543521,"McHugh, Collin",1204,2.1,0.167,0,0.5,0.167,0.147,0.178,0.182,1,6,89.9,19,2806,79.1,78.3,0,4,21,-0.7999999999999972,5.98,105,150,113,150,293,313,283
25,518553,"Cishek, Steve",1157,2.2,0,0,0,0,0,0.196,0.151,0,6,88.2,41.8,2345,77.1,78.15,3,8,17,1.1000000000000085,7.03,112,153,110,149,298,319,294
25,453265,"Watson, Tony",958,2.6,0.167,0,0.2,0.167,0.147,0.194,0.183,2,12,88.3,16.9,2359,84,82.94,4,21,4,-1.0999999999999943,5.5,110,146,110,147,292,320,296
25,571927,"Matz, Steven",2692,0.9,0.25,0.083,0.25,0.333,0.251,0.341,0.364,3,12,85.5,-5.7,2064,88.4,88.82,2,22,3,0.3999999999999915,6.48,108,151,110,146,300,324,300
24,543037,"Cole, Gerrit",3257,0.7,0.545,0.364,0.625,0.909,0.618,0.457,0.366,6,11,98.3,19.2,2495,88.4,88.02,2,18,6,-0.4000000000000057,5.83,109,153,126,152,287,314,293
