"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
2390,477132,"Kershaw, Clayton",3390,70.5,0.24,0.115,0.28,0.355,0.309,,,129,538,,,,93.1,,215,1111,1279,,,,,,,,,
2177,434378,"Verlander, Justin",3745,58.1,0.279,0.159,0.316,0.438,0.352,,,132,473,,,,96.1,,176,1095,1082,,,,,,,,,
2101,430912,"Cain, Matt",3501,60,0.234,0.152,0.265,0.386,0.298,,,111,474,,,,92.1,,174,1051,1050,,,,,,,,,
2065,453286,"Scherzer, Max",3297,62.6,0.25,0.156,0.301,0.406,0.336,,,98,392,,,,93.7,,145,874,1191,,,,,,,,,
2003,490063,"Garza, Matt",3281,61,0.268,0.164,0.269,0.432,0.338,,,121,451,,,,94,,123,965,1038,,,,,,,,,
1935,461833,"Hughes, Phil",3006,64.4,0.232,0.164,0.257,0.396,0.303,,,98,422,,,,93,,200,1018,917,,,,,,,,,
1910,430935,"Hamels, Cole",3368,56.7,0.246,0.159,0.285,0.406,0.324,,,102,414,,,,92.3,,161,883,1027,,,,,,,,,
1797,462102,"Hanson, Tommy",3272,54.9,0.261,0.136,0.282,0.398,0.318,,,111,425,,,,93.2,,125,843,954,,,,,,,,,
1792,429722,"Santana, Ervin",3561,50.3,0.293,0.191,0.294,0.485,0.363,,,144,491,,,,93,,62,813,979,,,,,,,,,
1781,453385,"Richard, Clayton",3212,55.4,0.27,0.111,0.337,0.381,0.326,,,109,404,,,,92,,125,774,1007,,,,,,,,,
1763,407793,"Lackey, John",3598,49,0.273,0.138,0.32,0.41,0.336,,,105,385,,,,92.1,,91,735,1028,,,,,,,,,
1749,407890,"Lewis, Colby",3301,53,0.225,0.155,0.28,0.38,0.312,,,77,342,,,,90.5,,129,737,1012,,,,,,,,,
1695,429719,"Jackson, Edwin",3358,50.5,0.305,0.171,0.332,0.476,0.384,,,125,410,,,,95.1,,113,776,919,,,,,,,,,
1694,435178,"Johnson, Josh",2988,56.7,0.23,0.104,0.31,0.333,0.279,,,82,357,,,,95.4,,178,773,921,,,,,,,,,
1679,451596,"Gallardo, Yovani",3203,52.4,0.251,0.134,0.335,0.385,0.328,,,86,343,,,,93.3,,107,637,1042,,,,,,,,,
1658,456043,"Sánchez, Jonathan",3235,51.3,0.201,0.147,0.225,0.348,0.302,,,63,313,,,,91,,133,687,971,,,,,,,,,
1644,451584,"Davis, Wade",2789,58.9,0.26,0.216,0.252,0.476,0.356,,,94,361,,,,93.1,,110,805,839,,,,,,,,,
1537,460069,"Romero, Ricky",3241,47.4,0.313,0.126,0.327,0.439,0.375,,,117,374,,,,91.3,,77,706,831,,,,,,,,,
1521,276371,"Santana, Johan",3004,50.6,0.262,0.095,0.29,0.357,0.304,,,86,328,,,,90,,106,757,764,,,,,,,,,
1517,433579,"Danks, John",3389,44.8,0.26,0.147,0.284,0.407,0.343,,,74,285,,,,92.4,,96,640,877,,,,,,,,,
1500,400061,"Oswalt, Roy",3194,47,0.219,0.152,0.267,0.371,0.292,,,75,342,,,,93.3,,169,732,768,,,,,,,,,
1452,434622,"Jiménez, Ubaldo",3600,40.3,0.243,0.131,0.303,0.374,0.32,,,74,305,,,,96.6,,134,659,793,,,,,,,,,
1452,282332,"Sabathia, CC",3587,40.5,0.262,0.128,0.29,0.389,0.33,,,84,321,,,,94.3,,77,615,837,,,,,,,,,
1451,453178,"Kennedy, Ian",3170,45.8,0.254,0.163,0.286,0.417,0.342,,,81,319,,,,90,,92,625,826,,,,,,,,,
1413,451085,"Matusz, Brian",3007,47,0.243,0.153,0.254,0.395,0.337,,,73,301,,,,90.5,,92,678,735,,,,,,,,,
1407,456034,"Price, David",3355,41.9,0.218,0.133,0.304,0.352,0.298,,,64,293,,,,95.7,,163,671,736,,,,,,,,,
1356,150359,"Burnett, A.J.",3118,43.5,0.311,0.263,0.298,0.574,0.42,,,90,289,,,,93.8,,86,624,732,,,,,,,,,
1335,452657,"Lester, Jon",3357,39.8,0.307,0.193,0.383,0.5,0.399,,,78,254,,,,94,,106,533,802,,,,,,,,,
1325,150438,"Lopez, Rodrigo",3087,42.9,0.258,0.158,0.287,0.416,0.325,,,80,310,,,,88.6,,64,598,727,,,,,,,,,
1276,453311,"Lincecum, Tim",3437,37.1,0.279,0.143,0.325,0.423,0.343,,,76,272,,,,91.9,,83,551,725,,,,,,,,,
1266,433587,"Hernández, Félix",3731,33.9,0.234,0.132,0.276,0.366,0.305,,,69,295,,,,94.9,,88,570,696,,,,,,,,,
1261,434678,"Davies, Kyle",3127,40.3,0.301,0.197,0.326,0.498,0.387,,,84,279,,,,93.5,,71,516,745,,,,,,,,,
1258,493137,"Matsuzaka, Daisuke",2619,48,0.225,0.158,0.248,0.382,0.317,,,64,285,,,,92.5,,104,596,662,,,,,,,,,
1236,456501,"Cueto, Johnny",3117,39.7,0.264,0.181,0.299,0.445,0.339,,,67,254,,,,93.7,,108,583,653,,,,,,,,,
1229,477003,"Niese, Jonathon",2947,41.7,0.278,0.139,0.329,0.417,0.344,,,74,266,,,,90.4,,95,544,685,,,,,,,,,
1217,451532,"Billingsley, Chad",3134,38.8,0.265,0.128,0.314,0.393,0.335,,,68,257,,,,92.1,,82,524,693,,,,,,,,,
1197,502032,"Norris, Bud",2726,43.9,0.256,0.167,0.294,0.423,0.363,,,58,227,,,,94.2,,91,502,695,,,,,,,,,
1188,458713,"Slowey, Kevin",2579,46.1,0.274,0.163,0.298,0.437,0.332,,,74,270,,,,89.9,,81,581,607,,,,,,,,,
1186,461829,"González, Gio",3369,35.2,0.278,0.165,0.289,0.443,0.383,,,71,255,,,,92.7,,81,532,654,,,,,,,,,
