year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2019,Corbin, Patrick,571578,Nationals,WSH,L,81.7,1224,3299,20.364197530864196,0.3710215216732343,SL,Slider,42,-40.7,1.3,3,3.6,6,-2.4,-40,0.6547619047619048,0.2113095238095238
2019,Boyd, Matthew,571510,Tigers,DET,L,79.6,1091,3118,19.366459627329192,0.349903784477229,SL,Slider,46,-43.7,2.4,5,4.2,10.6,-6.4,-60,0.7767857142857143,0.01488095238095238
2019,deGrom, Jacob,594798,Mets,NYM,R,92.5,1022,3297,20.35185185185185,0.3099787685774947,SL,Slider,24.6,-25.2,-0.6,-2,3,2.1,0.9,42,0.43154761904761907,0.6607142857142857
2019,Kershaw, Clayton,477132,Dodgers,LAD,L,86.9,1005,2672,16.493827160493826,0.37612275449101795,SL,Slider,28.8,-34.1,-5.3,-15,4.8,3.8,1,27,0.041666666666666664,0.6726190476190477
2019,Tanaka, Masahiro,547888,Yankees,NYY,R,83.3,1000,2787,17.203703703703702,0.35880875493362036,SL,Slider,39.7,-39.5,0.3,1,6.7,8,-1.3,-16,0.5297619047619048,0.36607142857142855
2019,Chacín, Jhoulys,468504,Red Sox,BOS,R,79.8,964,1945,12.006172839506172,0.49562982005141387,SL,Slider,41,-44.2,-3.2,-7,12.8,9.2,3.5,38,0.13988095238095238,0.8720238095238095
2019,Sale, Chris,519242,Red Sox,BOS,L,79,947,2466,15.222222222222221,0.3840227088402271,SL,Slider,49.8,-44.8,5,11,14,11.1,3,27,0.9285714285714286,0.8422619047619048
2019,Ray, Robbie,592662,D-backs,AZ,L,84.2,941,3064,18.91358024691358,0.3071148825065274,SL,Slider,34.7,-37.3,-2.6,-7,1.9,4.7,-2.8,-59,0.20238095238095238,0.16666666666666666
2019,Stroman, Marcus,573186,Mets,NYM,R,85.7,940,3047,18.808641975308642,0.308500164095832,SL,Slider,37.8,-36.5,1.3,4,11.2,5.7,5.5,96,0.6547619047619048,0.9196428571428571
2019,Verlander, Justin,434378,Astros,HOU,R,87.5,929,3448,21.28395061728395,0.26943155452436196,SL,Slider,30.2,-32.5,-2.3,-7,4.1,3.8,0.3,7,0.23214285714285715,0.5714285714285714
2019,Flaherty, Jack,656427,Cardinals,STL,R,84.8,876,3179,19.623456790123456,0.27555835168291914,SL,Slider,33.3,-36.3,-3,-8,6.4,5.7,0.7,13,0.15476190476190477,0.6220238095238095
2019,Junis, Jakob,596001,Royals,KC,R,82.4,867,2926,18.061728395061728,0.296308954203691,SL,Slider,43.3,-40.9,2.4,6,14.7,7.2,7.5,105,0.7767857142857143,0.9702380952380952
2019,Bieber, Shane,669456,Guardians,CLE,R,85,854,3332,20.567901234567902,0.25630252100840334,SL,Slider,34.9,-36,-1.1,-3,1.4,4.8,-3.4,-71,0.3601190476190476,0.13690476190476192
2019,Keller, Brad,641745,Royals,KC,R,84.9,851,2711,16.734567901234566,0.3139063076355588,SL,Slider,44,-37.5,6.5,17,7.2,4.7,2.5,53,0.9761904761904762,0.8125
2019,Smith, Caleb,592761,Marlins,MIA,L,83.5,839,2661,16.425925925925927,0.31529500187899284,SL,Slider,37.5,-40.7,-3.2,-8,2.1,6.1,-4,-65,0.13988095238095238,0.10714285714285714
2019,Gray, Jon,592351,Rockies,COL,R,88.3,795,2373,14.648148148148149,0.3350189633375474,SL,Slider,30.2,-32.3,-2.1,-7,1.6,3.4,-1.8,-53,0.25595238095238093,0.27976190476190477
2019,Eflin, Zach,621107,Phillies,PHI,R,87.1,790,2571,15.87037037037037,0.3072734344612991,SL,Slider,29.8,-33.2,-3.4,-10,3.7,3.7,0,0,0.12797619047619047,0.5267857142857143
2019,Cole, Gerrit,543037,Astros,HOU,R,89.2,778,3362,20.753086419753085,0.2314098750743605,SL,Slider,31.8,-31.2,0.5,2,4.9,3.2,1.7,52,0.5565476190476191,0.75
2019,Maeda, Kenta,628317,Dodgers,LAD,R,83.5,757,2433,15.018518518518519,0.31113851212494864,SL,Slider,33.9,-38.8,-4.9,-13,4.7,6.2,-1.5,-25,0.05654761904761905,0.32142857142857145
2019,Thornton, Trent,663423,Blue Jays,TOR,R,80.5,748,2759,17.030864197530864,0.2711127220007249,SL,Slider,52.4,-43.4,9,21,11,10.2,0.8,8,0.9940476190476191,0.6488095238095238
2019,Archer, Chris,502042,Pirates,PIT,R,88.7,746,2098,12.950617283950617,0.3555767397521449,SL,Slider,33.8,-32.8,1,3,5.4,3.6,1.8,50,0.6190476190476191,0.7619047619047619
