year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2018,Richards, Garrett,572070,Angels,LAA,R,89.2,512,1313,8.104938271604938,0.38994668697638996,SL,Slider,39.9,-33,6.9,21,2.4,3.8,-1.4,-37,0.972972972972973,0.37237237237237236
2018,Eflin, Zach,621107,Phillies,PHI,R,85.9,508,2040,12.592592592592593,0.24901960784313726,SL,Slider,34.1,-34.7,-0.6,-2,4.4,4.3,0.1,3,0.43243243243243246,0.5735735735735735
2018,Wilson, Alex,543935,Tigers,DET,R,86.5,505,941,5.808641975308642,0.536663124335813,SL,Slider,30.7,-34,-3.2,-10,5.1,4.2,0.9,22,0.12012012012012012,0.6696696696696697
2018,Syndergaard, Noah,592789,Mets,NYM,R,92,503,2412,14.88888888888889,0.20854063018242122,SL,Slider,25.7,-26.1,-0.4,-1,2.6,2.9,-0.3,-9,0.45045045045045046,0.5105105105105106
2018,Márquez, Germán,608566,Rockies,COL,R,85.5,494,3121,19.14723926380368,0.15828260173021466,SL,Slider,37.2,-37.1,0.1,0,2,4.8,-2.8,-59,0.4984984984984985,0.21021021021021022
2018,Peña, Félix,570240,Angels,LAA,R,81.9,491,1409,8.697530864197532,0.3484740951029099,SL,Slider,42.9,-41.3,1.6,4,6.5,6.1,0.3,5,0.6426426426426426,0.6066066066066066
2018,Chen, Wei-Yin,612672,Marlins,MIA,L,84.9,487,2224,13.813664596273291,0.2189748201438849,SL,Slider,31.6,-36.4,-4.8,-13,5.1,4.7,0.3,7,0.042042042042042045,0.6066066066066066
2018,Stripling, Ross,548389,Dodgers,LAD,R,87,486,1999,12.263803680981596,0.24312156078039018,SL,Slider,30.6,-34.3,-3.7,-11,4.6,4,0.6,15,0.0960960960960961,0.6426426426426426
2018,Wright Jr., Mike,605541,Orioles,BAL,R,89.4,478,1562,9.641975308641975,0.3060179257362356,SL,Slider,29.1,-30.8,-1.7,-6,2.4,3.5,-1.1,-31,0.2972972972972973,0.4114114114114114
2018,Fiers, Mike,571666,Athletics,OAK,R,85.2,465,2683,16.561728395061728,0.17331345508758852,SL,Slider,27.1,-35.9,-8.8,-24,1.2,4.6,-3.5,-75,0.003003003003003003,0.15315315315315314
2018,Peacock, Brad,502748,Astros,HOU,R,82.1,464,1156,7.135802469135802,0.4013840830449827,SL,Slider,34.3,-40.8,-6.5,-16,12.3,8.5,3.9,46,0.012012012012012012,0.8858858858858859
2018,Pivetta, Nick,601713,Phillies,PHI,R,84.8,464,2846,17.567901234567902,0.16303583977512298,SL,Slider,38.4,-35.9,2.5,7,7.9,4.7,3.2,68,0.7507507507507507,0.8558558558558559
2018,Bedrosian, Cam,592135,Angels,LAA,R,83,460,1038,6.407407407407407,0.44315992292870904,SL,Slider,47.6,-39.6,7.9,20,7.9,5.6,2.3,40,0.987987987987988,0.8078078078078078
2018,Castillo, Luis,622491,Reds,CIN,R,83.6,455,2778,17.14814814814815,0.16378689704823615,SL,Slider,40.9,-40.2,0.7,2,0.2,7.1,-6.8,-97,0.5705705705705706,0.018018018018018018
2018,Warren, Adam,476589,Mariners,SEA,R,85.2,452,989,6.104938271604938,0.4570273003033367,SL,Slider,34.6,-36.5,-1.8,-5,7.1,4.8,2.3,49,0.2882882882882883,0.8078078078078078
2018,Duffy, Danny,518633,Royals,KC,L,83.3,449,2785,17.191358024691358,0.16122082585278277,SL,Slider,41.2,-38.4,2.8,7,4.6,5.6,-0.9,-17,0.7867867867867868,0.44144144144144143
2018,Giolito, Lucas,608337,White Sox,CWS,R,83.9,444,3007,18.561728395061728,0.1476554705686731,SL,Slider,36.9,-37.9,-1,-3,2.8,4.8,-2.1,-42,0.37237237237237236,0.2852852852852853
