year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2021,Ray, Robbie,592662,Blue Jays,TOR,L,94.8,1861,3141,19.38888888888889,0.5924864692773002,FF,4-Seamer,13.5,-14.1,0.7,5,8.2,-7.1,1.1,15,0.6753554502369669,0.6066350710900474
2021,Manaea, Sean,640455,Athletics,OAK,L,92.1,1786,2980,18.395061728395063,0.5993288590604027,SIFT,Sinker,20.1,-21.7,-1.6,-7,13.8,-14.2,-0.4,-3,0.2839506172839506,0.3497942386831276
2021,Mahle, Tyler,641816,Reds,CIN,R,94,1693,3196,19.728395061728396,0.5297246558197747,FF,4-Seamer,13.8,-15.1,1.2,8,12.1,-7.7,4.4,56,0.7796208530805687,0.9312796208530806
2021,Gausman, Kevin,592332,Giants,SF,R,94.6,1583,3002,18.530864197530864,0.5273151232511659,FF,4-Seamer,14.2,-14.2,0,0,10.4,-7.1,3.3,46,0.5308056872037915,0.8388625592417062
2021,Happ, J.A.,457918,Cardinals,STL,L,91,1442,2674,16.506172839506174,0.5392670157068062,FF,4-Seamer,16.1,-16,0,0,7.9,-6.7,1.1,17,0.5308056872037915,0.6066350710900474
2021,Pivetta, Nick,601713,Red Sox,BOS,R,94.8,1423,2745,16.944444444444443,0.5183970856102004,FF,4-Seamer,10.8,-13.2,2.4,18,5.1,-6.2,-1.1,-18,0.9454976303317536,0.34834123222748814
2021,Cole, Gerrit,543037,Yankees,NYY,R,97.7,1399,2969,18.32716049382716,0.4712024250589424,FF,4-Seamer,10.9,-13,2.1,16,12,-8.4,3.6,43,0.9004739336492891,0.8625592417061612
2021,Buehler, Walker,621111,Dodgers,LAD,R,95.3,1398,3152,19.45679012345679,0.44352791878172587,FF,4-Seamer,12,-14.3,2.3,16,3.1,-7.7,-4.6,-60,0.9241706161137441,0.061611374407582936
2021,Cease, Dylan,656302,White Sox,CWS,R,96.7,1383,2957,18.253086419753085,0.4677037538045316,FF,4-Seamer,10.5,-12.8,2.3,18,4.4,-6.9,-2.4,-35,0.9241706161137441,0.2132701421800948
2021,Wheeler, Zack,554430,Phillies,PHI,R,97.2,1359,3205,19.78395061728395,0.42402496099843995,FF,4-Seamer,13.1,-12.9,-0.2,-2,7.7,-7.6,0,0,0.48104265402843605,0.46919431279620855
2021,Burnes, Corbin,669203,Brewers,MIL,R,95.2,1355,2594,16.012345679012345,0.5223592906707787,FC,Cutter,18.7,-19.1,0.4,2,4.2,2.7,1.5,56,0.59375,0.7734375
2021,Davies, Zach,605200,Cubs,CHC,R,88,1352,2577,15.907407407407407,0.5246410554908809,SIFT,Sinker,22.6,-26,-3.4,-13,14.5,-14.7,-0.3,-2,0.13580246913580246,0.37448559670781895
2021,Heaney, Andrew,571760,Yankees,NYY,L,92,1338,2330,14.382716049382717,0.5742489270386266,FF,4-Seamer,17.4,-16.9,-0.5,-3,15.3,-8.6,6.7,78,0.43601895734597157,0.990521327014218
2021,Matz, Steven,571927,Blue Jays,TOR,L,94.5,1328,2557,15.783950617283951,0.5193586233867814,SIFT,Sinker,18.4,-20.5,-2.1,-10,15,-14.8,0.3,2,0.23045267489711935,0.48148148148148145
2021,Urías, Julio,628711,Dodgers,LAD,L,94.1,1325,2786,17.19753086419753,0.47559224694903085,FF,4-Seamer,13.4,-15,1.5,10,3.7,-7.2,-3.5,-49,0.8293838862559242,0.13033175355450238
2021,Singer, Brady,663903,Royals,KC,R,93.7,1319,2287,14.117283950617283,0.5767380848272846,SIFT,Sinker,17.7,-21.4,-3.7,-17,13.2,-14.8,-1.6,-11,0.10699588477366255,0.20164609053497942
2021,Scherzer, Max,453286,Dodgers,LAD,R,94.3,1316,2821,17.41358024691358,0.4665012406947891,FF,4-Seamer,14.8,-15.3,0.4,3,10.6,-8,2.6,32,0.5947867298578199,0.7890995260663507
